"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","Family"
"Sox8",0.42888373,0.394761289,0.379665318,0,0.123440209,0.024832991,0.391382316,0.25071394,0.592781041,0.084656143,0.660963108,0.740753643,0.504082194,1,0.577197667,0.927118052,0.260589695,0.411608001,0.538306849,0.748388856,0.907652237,0.356284794,0.587640338,"HMG"
"Barx2",0,0.336834322,0.254052363,0.46474563,0.372382966,0.347018396,0.463373469,0.449265706,0.761083462,0.922383219,0.957526492,0.761357924,0.079422814,0.302452637,0.562874574,0.366698891,0.36734208,0.268443584,1,0.26353472,0.213522467,0.546877549,0.769015416,"Homeobox"
"Hhex",0.296905497,0.21369866,0.292035248,0.568710379,0.563884965,0.019179165,0,0.031228512,0.65446263,0.284892627,0.219572629,0.295433401,0.491375677,0.364298637,0.520488634,0.324617679,0.299901305,0.530439503,1,0.64283599,0.895569389,0.547443325,0.477441222,"Homeobox"
"Hlx",0.103541386,0.150817522,0.201941609,0.089102589,0.125611624,0,0.296245161,0.262467617,0.483860028,0.407957928,0.46356631,0.157537678,0.455995187,0.252854256,0.496842539,0.431936157,0.654799527,0.713210709,1,0.672312768,0.715461352,0.331479229,0.553905657,"Homeobox"
"Hopx",0.311432798,0.186005169,0.315279579,0.310551485,0.135875654,0.303742256,0.118615545,0.211545812,0,0.476015147,0.38602374,0.399205796,0.658084467,0.514728772,0.571647563,0.408812951,0.724139773,0.837360272,0.350204035,0.333563174,0.373448957,1,0.873153736,"Homeobox"
"Hoxc9",0.368396072,0.27193254,0.267947541,0.729612035,0.508295525,0.002120377,0.27395758,0.044520931,0.113334397,0.253480651,0.125600762,0.159091373,0.400345075,0.181849612,0.121277123,0.291815854,0.498345133,0.456902123,0,0.692978695,1,0.648882356,0.397799834,"Homeobox"
"Lmx1a",0.769366234,0.370230941,0.457396117,0.245665235,0,0.648056352,0.712345203,0.436844495,0.37586767,0.274801618,0.343588203,0.148559065,0.330303814,0.345566619,0.260998913,0.653480761,0.593245425,0.52311263,0.333221165,0.733213697,1,0.501554887,0.394810617,"Homeobox"
"Bhlhe41",0,0.165242926,0.266827872,0.052996593,0.209305033,0.208340939,0.361612705,0.567577925,0.665105029,0.439932718,0.500457612,0.412454086,0.651227811,0.72348503,0.530956328,0.466255535,0.290948916,0.533447531,0.804200337,0.865178623,1,0.623105276,0.586233088,"bHLH"
"Hand1",0.239465602,0.297164792,0.354690624,0.330782083,0.270910627,0.122165044,0.542443474,0.519988865,0.288973347,0.191748481,0.181141209,0.109758304,0.007277986,0.143986826,0.037961498,0.309124588,0.166476613,0.67211816,0.874498831,0,0.030941793,1,0.757759769,"bHLH"
"Lyl1",0.195730768,0.109559565,0,0.221035643,0.142327933,0.069677015,0.140647184,0.158437826,0.652755795,0.10650704,0.360656024,0.364623104,0.470438884,0.510222086,0.632864684,0.381824832,0.329559776,0.459843515,1,0.728812886,0.966515324,0.571696773,0.619616334,"bHLH"
"Mitf",0.058937162,0.105473646,0.085758355,0.036562005,0.193827227,0,0.074414848,0.027183108,0.581446522,0.467856398,0.277178844,0.442188374,0.769772088,0.832352746,0.715396599,0.596407212,0.50351801,0.610307687,0.492808203,0.709431843,0.956437953,1,0.86980503,"bHLH"
"Tal1",0.677197413,0.417945213,0.501423309,0.596888191,0.591903304,0,0.150611956,0.104562474,0.747369406,0.408859291,0.505305944,0.502810198,0.595824492,0.43976586,0.799240465,0.540172785,0.565748743,0.775407675,0.986423406,0.82064442,0.953963544,1,0.887677435,"bHLH"
"Tfeb",0.215288954,0.359780227,0.37261679,0.35724816,0.275862443,0.01844797,0,0.287061447,0.4925361,0.327505366,0.793531199,0.447267211,0.679128393,0.504971378,0.612463074,0.398464015,0.468855689,0.64851797,0.539171095,0.531073312,0.82046532,0.773137811,1,"bHLH"
"Tfec",0.29172036,0.084557165,0.060725666,0.12958675,0.240020047,0,0.292664483,0.18483844,0.617005724,0.096514854,0.260708596,0.385838705,0.432561864,0.504218815,0.633271321,0.403834832,0.248587335,0.435340886,0.920286909,0.817775223,1,0.490507348,0.530199221,"bHLH"
"Atf3",0.030659884,0.096702328,0.111867754,0.253858138,0,0.70488496,0.921092393,0.74438469,0.548102992,0.266025108,0.269842392,0.297410361,0.645378699,0.547052356,0.466355329,0.451588768,0.269066016,0.495112676,1,0.812485633,0.654524753,0.637837739,0.508272683,"TF_bZIP"
"Atf5",0.40111378,0.507237256,0.467051289,0.379820804,0.590320623,0,0.153897199,0.10722017,0.225138159,0.437541774,0.33749423,0.248621942,0.723339335,0.600859678,0.435555795,0.734599049,0.790098583,0.755408025,0.385586963,0.767391126,1,0.78852327,0.824233497,"TF_bZIP"
"Batf",0.078442534,0.08640123,0.055582077,0.044991153,0.060372562,0,0.092612924,0.080453519,0.495327342,0.025197864,0.286520613,0.382336395,0.35262078,0.356562778,0.631576207,0.33665111,0.283711966,0.44854347,0.806800459,0.655363426,1,0.74585771,0.841518541,"TF_bZIP"
