"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4"
"Ahr",203,234,221,296,174,358,503,361,734,1957,709,889,2749,2025,1631,1583,973,1044,676,1076,1103,1826,1659
"Ar",15,20,27,17,10,45,58,59,43,430,119,145,976,526,315,477,384,296,61,346,207,458,332
"Arid3b",1176,1463,1400,1924,974,560,590,503,589,473,280,365,681,437,521,333,266,274,595,318,303,451,380
"Arntl2",25,36,27,40,29,66,59,49,62,155,72,94,161,142,70,63,56,38,50,44,14,106,90
"Atf3",82,84,86,154,40,660,1256,729,414,305,160,195,1127,574,416,395,165,305,1133,733,382,537,360
"Barx1",58,61,59,41,30,119,146,120,153,180,142,107,169,96,78,118,159,108,124,84,67,109,158
"Barx2",113,147,130,203,99,228,288,258,356,673,366,327,326,283,349,271,185,165,406,173,127,282,347
"Batf",22,19,17,20,11,23,33,29,76,37,38,54,116,77,127,65,39,58,126,96,151,133,152
"Bcl6",57,75,90,70,42,121,147,110,142,542,213,225,881,577,374,472,409,325,167,363,422,494,502
"Bhlha9",36,173,168,344,193,15,18,13,17,67,26,24,8,2,26,6,3,5,10,1,1,4,4
"Bhlhe22",1,2,4,3,3,2,22,13,4,103,34,43,398,225,107,120,89,79,17,76,51,125,63
"Bhlhe41",89,101,118,98,70,167,237,304,337,363,209,204,696,515,337,299,152,230,362,416,404,323,286
"Casz1",345,349,309,335,126,423,551,587,445,1582,381,635,4616,2585,1568,2489,1481,1289,388,1066,831,1172,851
"Cdx1",10,6,8,3,2,1,3,0,1,2,1,1,2,0,2,3,0,0,3,1,0,0,0
"Cebpa",215,183,172,221,125,260,458,347,446,884,450,481,1343,913,793,724,507,484,790,834,1070,838,1133
"Cebpb",210,161,131,229,137,255,403,411,643,524,378,402,1752,996,943,927,641,770,920,1030,1040,1157,1220
"Creb3l1",286,232,249,197,114,1083,1689,1382,1052,4172,1448,1713,9295,5406,3590,5578,5080,3656,1591,4227,3995,4452,4117
"Dbx1",26,9,10,2,0,91,150,141,195,191,93,106,196,223,162,232,76,67,119,191,156,41,108
"Dbx2",47,34,35,31,12,124,139,115,217,750,566,535,948,460,735,448,367,315,194,214,83,266,372
"Dlx2",136,338,314,666,395,73,109,84,211,288,129,135,184,179,190,110,48,57,82,50,46,39,115
"Dmbx1",9,16,13,23,5,2,6,0,1,5,2,1,12,3,2,5,3,3,8,2,1,4,3
"Dmrt3",4,11,14,29,5,5,2,2,4,8,3,2,6,3,0,2,1,0,7,4,8,3,3
"Dmrta2",176,200,180,196,99,67,66,72,49,70,41,39,99,52,67,61,72,48,39,36,27,36,37
"Egr1",2034,3353,3629,3222,1702,17777,20561,15334,6594,10874,6604,7483,23974,10785,9130,8768,4260,5669,9689,5953,3841,8221,5278
"Egr2",53,51,47,46,19,263,520,301,160,208,149,146,930,537,309,373,137,174,420,398,251,230,166
"Egr3",30,21,24,40,11,180,367,230,118,246,67,134,604,375,189,292,142,142,221,237,121,183,139
"Egr4",0,1,0,6,1,25,32,36,5,39,13,14,61,15,19,17,33,19,16,14,11,21,11
"Ehf",0,0,2,1,3,5,9,4,3,28,7,8,10,3,6,13,6,2,6,2,4,11,24
"Elf3",95,134,134,193,75,62,45,72,46,81,50,37,29,32,46,26,20,58,63,14,1,206,106
"Emx1",6,25,13,47,28,1,2,1,1,15,5,3,3,4,3,0,0,0,3,0,0,0,0
"Etv4",1396,1761,1734,2310,1070,730,748,807,844,1327,572,628,1508,890,922,832,702,553,421,315,261,546,620
"Evx1",277,386,397,514,199,80,66,76,126,95,72,72,116,108,140,33,38,46,32,16,19,47,46
"Fezf2",13,10,7,7,10,96,257,161,84,64,12,12,28,28,15,56,34,28,61,41,33,0,2
"Fos",2599,3674,4011,3999,2173,13819,15757,13797,7056,9732,8038,7693,25851,9925,10708,8268,4247,5297,12509,6521,5890,13117,9236
"Fosb",1675,2831,2929,2756,1139,10303,11389,9822,3261,2275,3052,2917,9250,2869,3636,3284,1288,1792,7080,3182,1551,5394,2969
"Foxa1",6,4,8,3,3,12,29,32,18,11,4,5,6,2,2,7,6,1,8,1,4,0,0
"Foxd3",156,36,31,57,19,147,202,160,570,705,235,254,1004,848,533,574,196,263,229,354,284,265,178
"Foxf2",20,30,33,36,13,57,70,49,30,904,467,393,1207,414,574,442,480,464,41,162,118,858,1106
"Foxl2",3,2,5,2,3,2,16,22,7,21,5,9,22,19,17,27,7,15,15,20,22,4,1
"Foxq1",6,12,8,13,6,23,20,34,19,278,117,113,266,131,191,119,145,139,17,47,34,328,362
"Gata2",161,178,173,208,148,249,284,254,636,412,446,676,1124,867,2751,1124,687,1198,758,1197,1405,4810,4251
"Gbx2",11,11,9,24,10,3,10,1,8,6,3,2,18,11,11,9,5,1,6,3,7,5,3
"Hey2",113,81,95,116,39,230,259,188,174,404,154,178,668,437,350,363,272,237,111,171,173,278,247
"Heyl",375,234,197,265,118,411,633,509,1071,1481,556,706,2135,1930,1095,1734,800,871,668,1050,867,788,748
"Hic1",3476,2623,2803,2261,1344,6455,8512,8087,5432,10591,4018,3915,12740,7191,5726,9891,8589,6450,5188,7081,5526,3911,3918
"Hivep2",469,405,401,371,207,643,817,823,713,1927,725,913,2780,1593,1099,2241,1317,1143,872,1449,1235,1300,1321
"Hivep3",30,23,20,36,23,42,55,59,85,129,68,88,268,171,118,165,104,76,110,159,140,145,116
"Hlf",45,52,27,45,31,155,233,146,181,649,155,285,2070,1002,577,656,536,446,193,361,365,988,678
"Hnf4g",1,1,1,0,1,11,10,17,5,7,8,2,12,6,4,8,5,8,2,7,11,1,1
"Hoxa11",1972,2136,2143,2994,1487,1109,1002,806,513,1146,616,632,1636,1020,821,784,849,816,654,724,666,545,586
"Hoxb9",115,56,47,70,37,123,173,145,419,499,138,165,734,510,344,348,197,213,167,169,192,148,152
"Hoxc10",24,38,41,86,48,10,2,4,2,54,20,13,35,28,28,3,6,0,4,18,42,105,62
"Hoxc8",217,185,170,241,127,451,746,514,374,742,184,266,884,492,380,791,621,435,254,559,495,481,296
"Hoxd1",15,17,14,7,9,47,95,95,61,117,33,53,261,164,116,174,154,111,82,137,136,73,64
"Hoxd9",1544,1903,2045,2533,1470,919,786,873,808,1077,717,669,1794,1011,870,926,945,642,564,588,423,740,784
"Ikzf1",294,154,146,249,210,380,523,341,1304,241,414,639,1176,983,2041,811,417,712,1818,1218,1433,2557,2082
"Ikzf3",12,10,4,6,2,15,18,26,9,37,9,11,21,3,11,10,8,11,28,12,19,29,19
"Insm1",39,20,18,27,10,5,11,9,17,1,4,5,13,5,10,13,3,4,4,3,3,24,20
"Irf4",6,1,1,8,2,12,45,40,49,27,24,25,113,74,77,101,33,106,92,82,125,373,150
"Irf7",18,7,7,13,10,15,27,20,73,58,28,28,74,123,97,41,34,47,89,75,81,117,117
"Irf8",222,96,87,166,105,216,331,251,689,247,197,329,784,566,650,477,225,314,1227,884,1059,435,459
"Irx1",499,288,282,186,91,2118,2308,2501,2437,4138,1934,1921,10503,5297,3697,4656,3971,3341,2378,2881,2316,4216,3427
"Irx2",261,462,354,408,266,708,952,982,871,3401,1110,1239,5918,3148,2220,2667,2485,1703,877,1437,1273,2622,2413
"Isl2",43,75,51,106,47,22,22,23,12,15,9,6,12,10,7,10,10,13,4,3,7,2,4
"Jazf1",332,324,296,311,187,598,689,581,492,1284,516,646,1939,1109,903,1012,812,676,487,711,574,719,652
"Junb",414,497,581,641,299,1990,2783,1805,1440,1392,1603,1334,4691,1923,1834,1580,900,1310,1874,1170,946,2819,1905
"Klf14",65,76,81,88,63,153,183,179,193,545,218,239,685,400,293,488,420,351,211,375,407,276,271
"Klf2",289,305,360,522,228,519,843,795,833,940,800,739,2180,1093,1219,948,668,801,1488,827,791,1685,1690
"Klf4",1115,1060,1088,1088,592,1829,2878,2380,1377,3053,1665,1697,5187,2784,2235,2959,2801,2141,1846,2135,2312,3299,3176
"Klf6",1646,1233,1316,1525,798,4073,5701,4022,3252,5220,2424,3106,11022,6370,5241,5650,3761,3660,5190,4545,4114,5753,3949
"Lhx1",18,23,21,22,14,0,0,1,4,1,1,0,2,0,1,0,0,1,1,4,0,0,2
