TFs,E12.E11,E13.E12,E14.E13,,,,,,,,,,Gene,E12-E11,E13-12,E14-13
Sp8,-2.69,NA,NA,,,,,,,,,,Shh,-3.62,NA,NA
Bhlha9,-2.56,NA,-0.59,,,,,,,,,,Wnt9b,-2.89,NA,NA
Sall4,-2.43,-0.81,NA,,,,,,,,,,Frzb,-2.80,NA,NA
Lhx1,-2.39,NA,NA,,,,,,,,,,Sost,-2.64,NA,NA
Hoxc10,-2.23,NA,NA,,,,,,,,,,Fermt1,-2.34,NA,NA
Sall3,-2.13,-1.20,NA,,,,,,,,,,Cpa2,-2.18,-0.84,NA
Hoxc13,-2.08,NA,NA,,,,,,,,,,Krt9,-2.09,NA,NA
Lin28a,-2.02,NA,NA,,,,,,,,,,Srms,-2.09,NA,NA
Hoxc12,-1.98,NA,NA,,,,,,,,,,Rubie,-2.08,NA,NA
Emx1,-1.92,NA,NA,,,,,,,,,,Gja3,-1.98,-0.94,NA
Tbx22,-1.92,NA,NA,,,,,,,,,,Gpx2,-1.92,NA,NA
Evx1,-1.87,NA,NA,,,,,,,,,,Wnt7a,-1.92,NA,NA
Uncx,-1.84,NA,NA,,,,,,,,,,Crhr1,-1.92,NA,NA
Zic5,-1.84,-0.84,NA,,,,,,,,,,Pmaip1,-1.83,-0.79,NA
Tfap2c,-1.71,NA,NA,,,,,,,,,,BC046251,-1.78,NA,NA
Sox14,-1.63,NA,NA,,,,,,,,,,Hsd11b2,-1.77,-1.74,NA
Nkx1-1,-1.61,NA,NA,,,,,,,,,,Scn11a,-1.77,NA,NA
Nkx3-1,-1.53,NA,NA,,,,,,,,,,Clca3b,-1.75,NA,NA
Isl2,-1.52,NA,NA,,,,,,,,,,Trim71,-1.74,-1.01,NA
Zic2,-1.50,NA,NA,,,,,,,,,,Scn4b,-1.73,NA,NA
Hoxc11,-1.48,NA,NA,,,,,,,,,,5730457N03Rik,-1.69,NA,NA
Dmrta2,-1.42,NA,NA,,,,,,,,,,2610035F20Rik,-1.67,NA,NA
Rax,-1.39,NA,NA,,,,,,,,,,Mogat2,-1.64,-0.70,NA
Zic3,-1.37,NA,NA,,,,,,,,,,Rspo4,-1.60,NA,NA
T,-1.36,NA,NA,,,,,,,,,,Gm8994,-1.59,NA,NA
Grhl2,-1.32,NA,NA,,,,,,,,,,Pm20d1,-1.53,NA,NA
Foxb2,-1.32,NA,NA,,,,,,,,,,Asb4,-1.48,-0.87,-0.70
Dlx2,-1.31,NA,NA,,,,,,,,,,Acpp,-1.48,NA,NA
Zbtb16,-1.29,NA,NA,,,,,,,,,,Ctcflos,-1.47,NA,NA
Hoxa11,-1.27,NA,NA,,,,,,,,,,Cbln1,-1.46,-1.10,-1.13
Tulp2,-1.27,NA,NA,,,,,,,,,,Fgf8,-1.45,-1.17,NA
Lin28b,-1.25,-1.18,NA,,,,,,,,,,Cyp26b1,-1.42,NA,NA
Otx1,-1.19,NA,NA,,,,,,,,,,Vwde,-1.41,NA,NA
Arid3b,-1.19,-0.69,NA,,,,,,,,,,Dnajc6,-1.40,NA,NA
Mycn,-1.19,NA,-0.77,,,,,,,,,,Greb1,-1.39,NA,-0.66
Hoxd9,-1.18,NA,NA,,,,,,,,,,Dnah11,-1.39,NA,NA
Sp6,-1.16,NA,NA,,,,,,,,,,Ano9,-1.38,NA,NA
Zscan10,-1.14,NA,NA,,,,,,,,,,4930412O13Rik,-1.38,NA,NA
Sall1,-1.12,NA,-0.64,,,,,,,,,,Fbxo41,-1.37,NA,NA
Nr0b1,-1.12,NA,NA,,,,,,,,,,Kdf1,-1.36,NA,NA
Etv4,-1.11,NA,-0.60,,,,,,,,,,Rassf9,-1.35,NA,NA
Zic4,-0.98,NA,NA,,,,,,,,,,Dlx1as,-1.33,NA,NA
Dmbx1,-0.96,NA,NA,,,,,,,,,,Sct,-1.32,NA,NA
Elf3,-0.95,NA,NA,,,,,,,,,,Cyp26c1,-1.31,NA,NA
Mybl1,-0.95,NA,NA,,,,,,,,,,Cecr2,-1.30,NA,NA
Pax9,-0.92,-0.61,NA,,,,,,,,,,Car8,-1.30,NA,NA
Zfp819,-0.90,NA,NA,,,,,,,,,,Atp6v1g3,-1.30,-1.53,NA
Lhx9,-0.90,-0.82,-1.02,,,,,,,,,,Astl,-1.29,NA,NA
Hoxa10,-0.90,NA,NA,,,,,,,,,,Mab21l2,-1.29,-0.89,-0.69
Insm1,-0.89,NA,NA,,,,,,,,,,Tns4,-1.26,NA,NA
Hand2,-0.89,-0.68,NA,,,,,,,,,,Slc4a9,-1.26,NA,NA
Trps1,-0.88,NA,NA,,,,,,,,,,Qrfp,-1.26,NA,NA
Hoxa9,-0.88,NA,-0.54,,,,,,,,,,Megf11,-1.24,NA,-0.64
Mnx1,-0.87,NA,NA,,,,,,,,,,Egfem1,-1.24,NA,NA
Foxc2,-0.84,NA,NA,,,,,,,,,,Lmo1,-1.24,NA,NA
Hoxa6,-0.84,-0.94,NA,,,,,,,,,,Lrtm2,-1.23,NA,NA
Pou2f1,-0.83,NA,NA,,,,,,,,,,Phactr3,-1.23,-0.72,NA
Aff2,-0.82,NA,NA,,,,,,,,,,Acpt,-1.22,NA,NA
Gm10778,-0.81,NA,NA,,,,,,,,,,Gm5577,-1.22,NA,NA
Hoxd10,-0.81,NA,NA,,,,,,,,,,D030045P18Rik,-1.22,NA,NA
Mecom,-0.80,-0.68,-0.92,,,,,,,,,,Dusp15,-1.22,NA,NA
Six4,-0.79,-0.76,NA,,,,,,,,,,Mir196b,-1.21,NA,NA
Hey1,-0.76,-0.78,NA,,,,,,,,,,Pde6a,-1.21,NA,NA
Mlxipl,-0.75,NA,-0.74,,,,,,,,,,Gm2762,-1.20,NA,NA
Pou4f1,-0.75,NA,NA,,,,,,,,,,Ttll10,-1.19,NA,NA
Foxc1,-0.74,NA,NA,,,,,,,,,,Igfbpl1,-1.19,-0.72,NA
Zfp473,-0.73,NA,NA,,,,,,,,,,Fam181b,-1.18,NA,NA
Gata3,-0.72,NA,NA,,,,,,,,,,Glt1d1,-1.17,NA,NA
Hoxd11,-0.71,NA,-0.67,,,,,,,,,,Plch2,-1.17,NA,NA
Fli1,-0.71,NA,NA,,,,,,,,,,Ifitm7,-1.16,NA,NA
Rcor2,-0.70,NA,NA,,,,,,,,,,Unc5b,-1.16,NA,NA
Prdm14,-0.69,NA,NA,,,,,,,,,,Dusp9,-1.15,-0.54,-0.79
Alx4,-0.68,NA,NA,,,,,,,,,,Stra6l,-1.15,NA,NA
Zik1,-0.67,-0.55,-0.60,,,,,,,,,,Gpr87,-1.14,NA,NA
E2f7,-0.67,NA,NA,,,,,,,,,,Gm2694,-1.14,NA,NA
Zfp457,-0.64,NA,NA,,,,,,,,,,Ablim2,-1.13,NA,NA
Gsc,-0.63,-0.82,NA,,,,,,,,,,Ntf5,-1.13,NA,NA
Prdm16,-0.62,-0.64,-0.76,,,,,,,,,,BC051628,-1.13,NA,NA
Msx2,-0.62,NA,NA,,,,,,,,,,Spag16,-1.13,NA,NA
Etv5,-0.61,NA,NA,,,,,,,,,,Plcxd3,-1.11,NA,NA
Mbd4,-0.61,NA,NA,,,,,,,,,,Fam83b,-1.11,NA,NA
Hic2,-0.60,NA,NA,,,,,,,,,,Fignl2,-1.10,-0.50,NA
Mis18bp1,-0.60,NA,NA,,,,,,,,,,Ccdc150,-1.10,NA,NA
Hoxd4,-0.60,NA,NA,,,,,,,,,,Clca1,-1.09,NA,NA
Zbtb26,-0.58,NA,NA,,,,,,,,,,Lgals12,-1.08,NA,NA
Zfp101,-0.58,NA,-0.56,,,,,,,,,,Gldc,-1.07,-0.80,NA
Osr2,-0.57,NA,NA,,,,,,,,,,Rassf10,-1.07,NA,NA
Zfp354b,-0.57,NA,NA,,,,,,,,,,Cdcp1,-1.07,NA,NA
Sp4,-0.57,NA,NA,,,,,,,,,,Pla2g4c,-1.06,NA,NA
Zfp113,-0.56,NA,NA,,,,,,,,,,Unc80,-1.06,NA,NA
Sox5,-0.55,NA,NA,,,,,,,,,,Lypd6b,-1.06,NA,NA
Zfp459,-0.55,NA,NA,,,,,,,,,,Igdcc3,-1.04,-1.08,NA
Zbtb12,-0.55,NA,NA,,,,,,,,,,Sgpp2,-1.03,NA,NA
Hmga1,-0.55,NA,NA,,,,,,,,,,Wnt7b,-1.03,NA,NA
Zfp41,-0.54,NA,NA,,,,,,,,,,Frmd7,-1.03,NA,NA
Hmgb3,-0.54,NA,-0.63,,,,,,,,,,4933413G19Rik,-1.03,NA,NA
Zfp664,-0.53,NA,NA,,,,,,,,,,1500004A13Rik,-1.02,NA,NA
Rag1,-0.52,-1.05,NA,,,,,,,,,,Gm3716,-1.02,NA,NA
Rfx3,-0.52,NA,NA,,,,,,,,,,Ralyl,-1.01,NA,NA
Zfp946,-0.52,NA,-0.55,,,,,,,,,,Chrdl1,-1.01,NA,NA
Dlx5,-0.52,NA,NA,,,,,,,,,,5930403L14Rik,-1.01,-0.65,-0.95
Prrx1,-0.52,NA,NA,,,,,,,,,,F5,-1.01,NA,NA
Zbtb39,-0.52,NA,NA,,,,,,,,,,Dnajc22,-1.01,NA,NA
Zfp760,-0.51,NA,-0.53,,,,,,,,,,Crhbp,-1.01,NA,NA
Gabpb1,-0.51,NA,NA,,,,,,,,,,Hemgn,-1.01,NA,NA
Sox11,-0.51,NA,-0.99,,,,,,,,,,Glra2,-1.00,NA,NA
Patz1,-0.51,NA,NA,,,,,,,,,,Zpld1,-0.99,NA,NA
Pbx3,-0.51,NA,NA,,,,,,,,,,Pkd2l2,-0.99,NA,NA
,,,,,,,,,,,,,Cabp1,-0.99,NA,NA
,,,,,,,,,,,,,D030068K23Rik,-0.97,NA,NA
,,,,,,,,,,,,,Fcrl6,-0.97,NA,NA
,,,,,,,,,,,,,Itga3,-0.97,NA,NA
,,,,,,,,,,,,,Cwc22,-0.97,NA,-1.02
,,,,,,,,,,,,,F2rl2,-0.97,NA,NA
,,,,,,,,,,,,,Fndc3c1,-0.97,-0.85,-0.62
,,,,,,,,,,,,,Gm3002,-0.97,NA,NA
,,,,,,,,,,,,,Gulo,-0.97,-0.71,NA
,,,,,,,,,,,,,Slc4a5,-0.96,NA,NA
