"","E12.E11","E13.E12","E14.E13","EntrezID","Symbol","Family"
"16876",-1,-1,-1,16876,"Lhx9","Homeobox"
"15433",0,0,-1,15433,"Hoxd13","Homeobox"
"13390",0,0,-1,13390,"Dlx1","Homeobox"
"17701",0,0,-1,17701,"Msx1","Homeobox"
"16917",0,0,-1,16917,"Lmx1b","Homeobox"
"15399",0,-1,0,15399,"Hoxa2","Homeobox"
"14029",0,-1,0,14029,"Evx2","Homeobox"
"15400",0,-1,0,15400,"Hoxa3","Homeobox"
"15401",0,-1,0,15401,"Hoxa4","Homeobox"
"15402",0,-1,0,15402,"Hoxa5","Homeobox"
"15404",0,-1,0,15404,"Hoxa7","Homeobox"
"15412",0,-1,0,15412,"Hoxb4","Homeobox"
"15425",0,-1,0,15425,"Hoxc6","Homeobox"
"16392",0,-1,0,16392,"Isl1","Homeobox"
"17268",0,-1,0,17268,"Meis1","Homeobox"
"17536",0,-1,0,17536,"Meis2","Homeobox"
"18741",0,-1,0,18741,"Pitx2","Homeobox"
"208076",0,-1,0,208076,"Pknox2","Homeobox"
"20429",0,-1,0,20429,"Shox2","Homeobox"
"20472",0,-1,0,20472,"Six2","Homeobox"
"20471",0,-1,0,20471,"Six1","Homeobox"
"15432",0,-1,-1,15432,"Hoxd12","Homeobox"
"16870",0,-1,-1,16870,"Lhx2","Homeobox"
"15403",-1,-1,0,15403,"Hoxa6","Homeobox"
"14836",-1,-1,0,14836,"Gsc","Homeobox"
"20474",-1,-1,0,20474,"Six4","Homeobox"
"18511",-1,-1,0,18511,"Pax9","Homeobox"
"15405",-1,0,-1,15405,"Hoxa9","Homeobox"
"15431",-1,0,-1,15431,"Hoxd11","Homeobox"
"13392",-1,0,0,13392,"Dlx2","Homeobox"
"11695",-1,0,0,11695,"Alx4","Homeobox"
"13395",-1,0,0,13395,"Dlx5","Homeobox"
"140477",-1,0,0,140477,"Dmbx1","Homeobox"
"13796",-1,0,0,13796,"Emx1","Homeobox"
"14028",-1,0,0,14028,"Evx1","Homeobox"
"15395",-1,0,0,15395,"Hoxa10","Homeobox"
"15396",-1,0,0,15396,"Hoxa11","Homeobox"
"209448",-1,0,0,209448,"Hoxc10","Homeobox"
"109663",-1,0,0,109663,"Hoxc11","Homeobox"
"15421",-1,0,0,15421,"Hoxc12","Homeobox"
"15422",-1,0,0,15422,"Hoxc13","Homeobox"
"15430",-1,0,0,15430,"Hoxd10","Homeobox"
"15436",-1,0,0,15436,"Hoxd4","Homeobox"
"15438",-1,0,0,15438,"Hoxd9","Homeobox"
"104360",-1,0,0,104360,"Isl2","Homeobox"
"16869",-1,0,0,16869,"Lhx1","Homeobox"
"15285",-1,0,0,15285,"Mnx1","Homeobox"
"17702",-1,0,0,17702,"Msx2","Homeobox"
"672284",-1,0,0,672284,"Nkx1-1","Homeobox"
"18095",-1,0,0,18095,"Nkx3-1","Homeobox"
"18516",-1,0,0,18516,"Pbx3","Homeobox"
"18986",-1,0,0,18986,"Pou2f1","Homeobox"
"18996",-1,0,0,18996,"Pou4f1","Homeobox"
"18933",-1,0,0,18933,"Prrx1","Homeobox"
"22255",-1,0,0,22255,"Uncx","Homeobox"
"19434",-1,0,0,19434,"Rax","Homeobox"
"13393",-1,1,0,13393,"Dlx3","Homeobox"
"50916",-1,1,0,50916,"Irx4","Homeobox"
"223843",1,1,-1,223843,"Dbx2","Homeobox"
"15423",1,-1,0,15423,"Hoxc4","Homeobox"
"15424",1,-1,0,15424,"Hoxc5","Homeobox"
"15242",0,0,1,15242,"Hhex","Homeobox"
"110648",0,0,1,110648,"Lmx1a","Homeobox"
"74318",0,1,0,74318,"Hopx","Homeobox"
"13394",0,1,0,13394,"Dlx4","Homeobox"
"15437",0,1,0,15437,"Hoxd8","Homeobox"
"64379",0,1,0,64379,"Irx6","Homeobox"
"16874",0,1,0,16874,"Lhx6","Homeobox"
"210719",0,1,0,210719,"Mkx","Homeobox"
"18505",0,1,0,18505,"Pax3","Homeobox"
"18508",0,1,0,18508,"Pax6","Homeobox"
"24113",0,1,0,24113,"Vax2","Homeobox"
"18988",0,1,0,18988,"Pou2f3","Homeobox"
"18987",1,0,1,18987,"Pou2f2","Homeobox"
"54352",1,1,0,54352,"Irx5","Homeobox"
"18991",1,1,0,18991,"Pou3f1","Homeobox"
"16372",1,1,0,16372,"Irx2","Homeobox"
"12023",1,0,0,12023,"Barx2","Homeobox"
"12022",1,0,0,12022,"Barx1","Homeobox"
"13172",1,0,0,13172,"Dbx1","Homeobox"
"13797",1,0,0,13797,"Emx2","Homeobox"
"15284",1,0,0,15284,"Hlx","Homeobox"
"15417",1,0,0,15417,"Hoxb9","Homeobox"
"15426",1,0,0,15426,"Hoxc8","Homeobox"
"15429",1,0,0,15429,"Hoxd1","Homeobox"
"16371",1,0,0,16371,"Irx1","Homeobox"
"16875",1,0,0,16875,"Lhx8","Homeobox"
"17537",1,0,0,17537,"Meis3","Homeobox"
"17285",1,0,0,17285,"Meox1","Homeobox"
"71950",1,0,0,71950,"Nanog","Homeobox"
"18509",1,0,0,18509,"Pax7","Homeobox"
"18740",1,0,0,18740,"Pitx1","Homeobox"
"18993",1,0,0,18993,"Pou3f3","Homeobox"
"18742",1,0,0,18742,"Pitx3","Homeobox"
