"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","delta_max_min","min","cluster"
"Cyp26b1",0.806498397227668,0.973493107004161,0.969491449127678,1,0.962968691976348,0.644109039647514,0.526987578942906,0.598914521955005,0.510511658489994,0.478016797081528,0.545270461867966,0.496019107420286,0.359427335817216,0.292460721699649,0.426206354306909,0.331462315378843,0.416476809240792,0.316029857062358,0.352129851226519,0.110125414574694,0,0.36689088364484,0.39998887929364,4.90511047620778,9.55584805583941,9
"Dusp9",0.845169056357929,0.952970261011175,0.95401148300418,1,0.949658477323683,0.599305709883234,0.547355290295437,0.58944439592989,0.523161898361817,0.419485989340524,0.517096719377623,0.459928955544258,0.235453629326393,0.310489815041211,0.368668156229974,0.205649421318594,0.255522932738174,0.269924720141214,0.416272213769517,0.127279438503945,0,0.171643531624644,0.128314557018975,4.23102580201925,7.74972637860185,9
"Bmpr1b",0.925653946939928,1,0.967199964438602,0.930109590422297,0.952120057715747,0.86894714790382,0.746668495537522,0.746583448768734,0.582445266065031,0.561058759464102,0.769254891750687,0.691548685641809,0.251434734176692,0.28141777678046,0.330101374216959,0.252476505982177,0.360578997374666,0.185166077740074,0.491524156002735,0.0750166935850795,0,0.331795375291059,0.410755701798443,3.27339257318614,8.15762648940563,9
"Cyp26a1",0.613401808121116,0.80005842477089,0.799206220661306,0.941981709575371,1,0.582388663976328,0.615006845532239,0.565838281045123,0.419500096028704,0.639699132481116,0.531300284684793,0.503286486928607,0.0895069544541342,0.207073555229621,0.323663447646698,0.279424364861583,0.279614509912069,0.104870619241615,0.316413275553223,0.00603643538356146,0,0.289602676939562,0.313498122213982,4.20362410400757,4.0526595421868,9
"Ell3",0.832876524397125,0.933566096402181,0.977028468418073,0.966145817218516,1,0.773356066493135,0.6090627924164,0.706155389039302,0.565791767833068,0.658699344498285,0.651405528763627,0.561965431275277,0.27250609047223,0.23234182895603,0.446588679473951,0.258844219575578,0.295763317179246,0.217399593645685,0.486937509191812,0,0.0292533225708725,0.307587728266094,0.436102567814878,3.33147806890402,4.31679696154124,9
"Cntn2",0.888481606948306,0.980944666047396,0.983440003858756,0.961687596365876,1,0.902076332875583,0.810670398879805,0.847822230967799,0.640123382086724,0.68754127694326,0.533312521220495,0.404501381374576,0.592555066586568,0.407923348783897,0.516241242046946,0.528807945796563,0.649792849635345,0.392110674003632,0.432124444220151,0,0.00760894261395272,0.110283362361651,0.042989758044599,2.07826242448442,5.61585295467866,9
"2810408A11Rik",0.95693774268788,0.961439804333297,1,0.967606775504074,0.865922498014155,0.727734633728983,0.63743478372894,0.673634593121924,0.556822281481942,0.428143474133722,0.507097487783718,0.443714332914992,0.224094298154306,0.212473475101716,0.311056943890846,0.278181046425461,0.339701858853743,0.257083328105501,0.423717590608677,0.0595686987224777,0,0.12015955460543,0.164455153596376,3.24226398042172,7.07947968390358,9
"Adam11",0.916973725598267,0.965853603753636,1,0.978581623347331,0.960351179277318,0.786153995661307,0.689413091104781,0.692089455572006,0.535823844248831,0.473176039292096,0.50881040668412,0.431592696421341,0.300643042461222,0.291058596275706,0.305363023381363,0.358796625083958,0.451516274738948,0.273229753873011,0.362399205304027,0.122883980873086,0,0.226301626247954,0.205632998935262,2.84861362792962,8.29244306395569,9
"Adamts18",0.642387401179852,0.824287878117396,0.809897245164761,1,0.951311635410286,0.614771684038558,0.738592656206019,0.652047376135298,0.40527628668491,0.597692259517976,0.38036097686613,0.397314917722418,0.169740239823016,0.196667478411838,0.340514750522589,0.269329094187214,0.317395727382761,0.288910429766248,0.459404078910006,0.0499537645336011,0,0.49824579706823,0.485582794794332,4.35434231299092,5.17843149831566,9
"Arxes2",0.974244717492774,0.960412026019963,1,0.932833374583469,0.949786706579099,0.83314313235161,0.764735628400745,0.617581229490788,0.318958957786006,0.419884728088117,0.597196228560511,0.54423733929698,0.234837713686363,0.418110864036388,0.275780877429853,0.341324178908977,0.367116785402004,0.130237674891919,0.183257621161391,0.0153111813140113,0.00432425086580696,0.109468118317169,0,2.62095204010917,7.66086473285026,9
"Aspg",0.976154207902571,0.926905868007,0.984097800590189,1,0.962674102557609,0.694004435758377,0.647207947870326,0.604304277333506,0.710248215946548,0.433318437397666,0.541935223904207,0.509798907329948,0.381169196405838,0.459593631795294,0.388322329254816,0.341147627285895,0.436087702430638,0.357024938903099,0.374371807934596,0.142276790996469,0,0.390883762669496,0.450950159036642,3.09635910635765,4.47391187526947,9
"Atp7b",0.89672110803671,0.97475629079426,1,0.90910424348789,0.889192444320534,0.684562315252119,0.573487667326384,0.696988363949251,0.437790935453582,0.413258191410902,0.525900362407194,0.399613616540957,0.265917840941397,0.100612609913201,0.227560302024568,0.382252367507517,0.413223277571449,0.257764687150499,0.479080532003889,0,0.015512144068345,0.0994190280132012,0.120809672163668,2.42737692229958,5.60266126092355,9
"B3gnt5",0.919503032811765,1,0.99916695309721,0.969775034894394,0.938507262159508,0.903406617652386,0.837892589097935,0.860717710983156,0.507158653577883,0.478787027069632,0.53913769740202,0.530162725123958,0.286182738532015,0.329799153085727,0.390327536157502,0.362874202199377,0.399586511136835,0.277382389556205,0.392572373239181,0.197486070115426,0.130871062077396,0.0439884280652741,0,3.19242492096076,9.10866037123207,9
"Btn2a2",1,0.978617780493099,0.963955952107819,0.885093887149733,0.902131285121868,0.711121294149586,0.703801836865375,0.735953731063518,0.496227123992126,0.430268371469326,0.555374618851362,0.448219532726945,0.278107114635952,0.265267866997816,0.379313933390979,0.290689700714737,0.410265273822644,0.267398945515332,0.359489438093158,0.0939963536683028,0,0.24361805519502,0.26237483208868,3.00323530881102,4.81865443838656,9
"Cast",0.779123976986143,0.961793886577666,0.995061746034907,0.916653645107204,1,0.798155668451314,0.731061086966982,0.636240855506754,0.0336045732777269,0.589646610271579,0.375281642134884,0.392956934821959,0.499490223154411,0.343171256967201,0.153165935915948,0.452913766506952,0.588731030644827,0.44370985235869,0.493985025570176,0.118311633635384,0,0.777101236243103,0.432028960498987,0.66376674592326,10.2900614293227,9
"Cd24a",0.88741920282828,0.976087199596349,0.987542143163376,1,0.998959567120204,0.791716158455591,0.679401442251691,0.679980589038726,0.530237104404523,0.453258377178363,0.570467306919927,0.508490271874709,0.238503724103259,0.296209829120678,0.3654723963159,0.200079718832423,0.27180395706722,0.231389873056049,0.429055857790657,0.0552963997227241,0,0.212912841026308,0.210343606361409,3.85224424792823,11.3457012025002,9
"Cdh3",0.864096175387942,0.987253503490767,0.960005123506481,1,0.95907209674032,0.715389302656253,0.616696048189963,0.698642767101529,0.560363514951535,0.623101887976517,0.612818521557111,0.551178761706537,0.355949726197043,0.293581021290761,0.443988200794472,0.334350205457994,0.468826326715736,0.342521957864647,0.484964343331457,0.108354936630761,0,0.265991602563549,0.311182564549121,3.30910192690824,10.1768646894274,9
"Chst8",0.738637264609901,0.922130646688242,0.946961583876434,0.923942558825608,1,0.850466713113064,0.798933347727137,0.815999671839974,0.654256205281971,0.435634432471282,0.480198370418108,0.272145598366944,0.212615339505184,0.142042571226789,0.222880128259516,0.240957166036509,0.397138168400636,0.26010279831437,0.525047235759948,0.266647271506963,0.0708387742507476,0.0986379272140131,0,2.31925425764891,4.41178934081122,9
"Crabp2",0.961232149856562,0.961411053617497,1,0.94092355264237,0.910490167685088,0.765318444697837,0.694851466413745,0.744826342593493,0.531017959299955,0.46785189997369,0.545351375685325,0.411106676824723,0.233220889247802,0.239695877553644,0.405376442319861,0.279218262031617,0.306792673667667,0.301836924588742,0.455598804233568,0.19201299973729,0.103605558074972,0,0.0757076704058086,2.62680776463688,10.4255515331002,9
"Cwc22",0.871064084433327,0.988443036705944,0.974034878944404,1,0.79423836535666,0.512599234747421,0.567892084026649,0.681687709126462,0.593455849822334,0.666136786118849,0.829760703640536,0.824739064717175,0.40323580830566,0.524107040186872,0.854366208055985,0.812010824828231,0.545773517229377,0.43684466380685,0.0968756994699922,0.415925608259069,0,0.0254840131953353,0.344649680392642,4.7530579809459,10.6302393617356,9
"Dlg3",0.874988167137775,1,0.988572559087418,0.971414924742461,0.941186756023169,0.682745576681102,0.57911099467013,0.650328217728591,0.462468229090832,0.428782001116491,0.538345962485969,0.456506615836313,0.214794038346669,0.241406925309197,0.282544905589383,0.265586840945412,0.310821375410206,0.173678888874866,0.329763481508928,0.0778255490270338,0,0.145712300637249,0.170743617728306,2.65743016061924,9.66119477912108,9
