,e11.sample1,e11.sample2,e11.sample3,e11.sample4,e11.sample5,e12.sample1,e12.sample2,e12.sample3,e12.sample4,e12.sample5,e12.sample6,e12.sample7,e13.sample1,e13.sample2,e13.sample3,e13.sample4,e13.sample5,e13.sample6,e13.sample7,e14.sample1,e14.sample2,e14.sample3,e14.sample4,cluster,Family
Eomes,0.924316784,0.886948732,0.840119764,0.673866546,0.760637601,1,0.834106583,0.748876828,0.634343714,0.577076395,0.686778183,0.667248886,0.254014058,0,0.148423476,0.099616679,0.318049314,0.221212378,0.639793487,0.013105373,0.203054818,0.487021083,0.627002104,1,T-box
Tbx5,0.8330575,0.994134926,1,0.938163384,0.993306917,0.557432189,0.50159904,0.534928687,0.292039295,0.365992474,0.392572737,0.339275752,0.20449205,0.07556439,0.155442478,0.12224046,0.324719309,0.210874286,0.277872294,0.074137331,0.065216706,0,0.147137249,1,T-box
Hmgb3,0.862467624,0.99889704,1,0.988783316,0.910562537,0.537687193,0.503879151,0.421337188,0.422008916,0.329259744,0.356118796,0.295481945,0.219609589,0.214206212,0.277956314,0.205265629,0.229936087,0.210154134,0.329605078,0.030141835,0.05531435,0,0.014980403,1,HMG
Sox11,0.823092544,1,0.996276413,0.919937045,0.935047751,0.655906289,0.60281172,0.563091647,0.516940718,0.472789061,0.573321696,0.553415214,0.235813355,0.239855194,0.386739569,0.236467664,0.295035408,0.197342753,0.339544357,0,0.009047348,0.085996459,0.12379864,1,HMG
Sox5,0.670531315,0.96493366,0.946986627,0.89977539,1,0.645764629,0.528268617,0.547231919,0.637525347,0.474827089,0.767923836,0.728827037,0.389810096,0.432666607,0.3731417,0.254000605,0.234745943,0.245438358,0.486668527,0.053447444,0,0.477255265,0.550158957,1,HMG
Sox6,0.6842741,0.997571639,0.989769802,0.931869532,1,0.715650266,0.625126915,0.589199167,0.612212294,0.549729976,0.818253046,0.781074913,0.345112779,0.423286534,0.343000691,0.225420166,0.303609924,0.228732623,0.562307826,0.048891162,0,0.494560499,0.558919442,1,HMG
Sox9,0.693421546,0.952761063,0.963573123,0.894283115,1,0.629483111,0.580835166,0.567827848,0.645339155,0.496659573,0.798926747,0.703236259,0.299663505,0.35755593,0.393964085,0.168829142,0.28367311,0.203903759,0.561514337,0.026854482,0,0.482097469,0.515384297,1,HMG
Tox3,0.760395627,1,0.989559705,0.854771331,0.997989846,0.679166945,0.621569515,0.631810141,0.142603262,0.439517905,0.205033209,0.313944849,0.133790293,0.147219612,0.067306574,0.261119731,0.391886986,0.388012345,0.222831881,0.240780001,0.237641566,0,0.161053958,1,HMG
Hmga1,0.818206075,1,0.898922391,0.830788652,0.77995101,0.294594932,0.104123818,0.19674682,0.46607265,0.226165646,0.063356951,0.035524881,0.094596547,0.045930817,0.23022423,0.108035955,0.190462583,0.263315866,0.343132402,0.130076218,0.20819338,0,0.091140107,1,HMGA
Hmga2,0.914906113,0.998767123,1,0.916995808,0.961218948,0.757563437,0.755036501,0.649845798,0.549697472,0.443758042,0.432842574,0.469367252,0.286768686,0.311905726,0.298785846,0.353441068,0.390663812,0.260645787,0.503029636,0.280313658,0.234415014,0,0.00791097,1,HMGA
Dlx1,0.274493018,0.667020572,0.648202397,0.959201126,1,0.067678614,0.12497805,0.034299375,0.586493806,0.542098148,0.342037946,0.357888954,0.369637469,0.491576644,0.374672688,0.364858382,0.17554497,0.081623326,0.194227969,0.151645418,0.127077462,0,0.134338369,1,Homeobox
