"","X","E12.E11","E13.E12","E14.E13"
"Gypa",1873,-0.921376303915823,1.1052172050687,0.770829503440352
"Ston2",3958,-0.935446149157565,0.595286479517861,0.537351768386631
"Esm1",1352,-0.737705676717139,0.807655539583057,-1.03736286258435
"Fam196b",1417,-0.625342619256923,0.815923312820067,-0.731151384362769
"Gm19757",1727,-1.1805633575493,0.916400259201256,-1.00502424262955
"Il1f9",2091,-1.25954028058254,0.875591202128093,-1.15187808911777
"Ism2",2149,-0.72618418105932,0.71485101305655,-0.675575392541405
"Pcdh8",3013,-0.812898832929425,0.804893782967101,-0.795460423471357
"Espn",1354,-0.754528805679901,NA,0.946235159806964
"Gp1ba",1784,-0.848122738986826,NA,0.970382243847617
"Hspb8",2010,-0.572001684366502,NA,0.767831024923481
"Il1rn",2097,-1.32487430651987,NA,1.25345722702513
"Ildr2",2114,-0.793234863921238,NA,0.866980792639747
"Padi3",2977,-2.18626817512412,NA,0.926190069171185
"Sptb",3910,-0.611893195265748,NA,0.75333509105169
"Aqp4",377,NA,1.21056167124157,-1.07392429770799
"Dnah5",1179,NA,1.74001754276347,-1.09356984663012
"Itga2",2154,NA,0.967700883519774,-0.64803802726718
"Klhl4",2287,NA,0.861372812141795,-0.705608903275514
"Lrrc55",2432,NA,0.682091709101923,-0.752421181240703
"Phyhip",3088,NA,0.672959251535003,-0.795042675893823
"Slc9a2",3804,NA,2.43617494050628,-0.785022975133855
"Strip2",3961,NA,0.549292507628819,-0.768276702159999
"Tac1",4011,NA,0.955790208681417,-0.656781353502065
"Wipf3",4385,NA,0.792073746107703,-0.51396238492414
"8430408G22Rik",91,-0.989299874052225,0.763565583592825,NA
"9530082P21Rik",98,-0.739344775190095,0.955517955172184,NA
"A530016L24Rik",112,-0.930477705352213,0.929249859102483,NA
"Ambn",309,-1.68717687374286,0.516016824207255,NA
"Anxa8",349,-1.23950567920163,1.01468132812128,NA
"Arhgef19",399,-0.984966625473499,0.778533939209378,NA
"Art4",423,-1.48933351873648,0.672737774555586,NA
"Bcam",522,-1.04658450793096,0.78028261396662,NA
"Calml3",626,-0.876820101516207,0.818895082197233,NA
"Cbr2",666,-1.33529053907585,0.842639508626893,NA
"Cck",687,-1.01610793449118,1.05341004224962,NA
"Celsr1",801,-0.714411868917798,0.897847963609163,NA
"Clca2",865,-0.7852200371423,0.695386418886629,NA
"Col17a1",939,-1.70422165734849,1.11055121308698,NA
"Col2a1",948,-0.710892205533912,0.702090117483298,NA
"Cyyr1",1097,-0.762146399131487,0.864063631541404,NA
"Dkk4",1152,-0.960634612185054,1.10731578272784,NA
"Dll4",1162,-0.650827627933641,0.944891089941668,NA
"Dysf",1237,-0.663707644640051,0.514854673027956,NA
"Edar",1256,-1.43360210919591,0.659824067047481,NA
"Efna1",1267,-0.991525095177523,0.601477510013705,NA
"Eogt",1325,-1.0472195388441,0.572295740520321,NA
"Epha2",1330,-0.746223686098201,0.537506816449487,NA
"Fam89a",1442,-0.903441739460082,0.644155555265887,NA
"Fat2",1450,-2.41527438621539,1.73600189641981,NA
"Fgfr3",1503,-0.641066420515715,0.737329869905142,NA
"Frem1",1564,-0.570010396883417,0.672532741779364,NA
"Fry",1573,-0.593984624756015,0.77407730302613,NA
"Fzd6",1593,-1.3079201104282,1.24371190558061,NA
"Gja4",1686,-1.06621390621715,1.24484513046627,NA
"Gja5",1687,-0.980794554818603,0.913676469958425,NA
"Gjb2",1688,-2.41327516043977,0.700474866259169,NA
"Gjb6",1689,-1.86911468615752,1.18414435657226,NA
"Gldn",1695,-0.894212109389042,1.6347119099356,NA
"Gria2",1832,-1.43701604044787,0.621969001463655,NA
"Grrp1",1853,-0.607495664703183,0.730664857119081,NA
"Hapln3",1892,-0.583735741688981,0.817262930023111,NA
"Hr",1993,-0.636931852152085,0.725306125958559,NA
"Itgb4",2164,-1.22905420939727,1.36643198289239,NA
"Jag2",2178,-1.72592104823877,1.1041233606458,NA
"Kremen2",2297,-0.530101414168362,0.538929223486122,NA
"Krt14",2300,-1.39908716142162,1.27390565927347,NA
"Krt15",2301,-1.57049471591553,1.15321052889117,NA
"Lama5",2321,-1.18710590248743,0.656266198770321,NA
"Lmo7",2389,-0.638620466461169,0.584749916197209,NA
"Mmrn2",2632,-0.583039524855299,0.906518652017018,NA
"Nap1l5",2756,-0.567351981852907,0.698596090427238,NA
"Nos3",2847,-0.662449258850566,0.891116924247296,NA
"Notch4",2848,-0.766599131089263,0.720304445513584,NA
"Notum",2849,-0.835014636556256,0.974917874444142,NA
"Nrarp",2881,-0.700852635288171,0.716930737164631,NA
"Osmr",2952,-0.897717149006275,0.670033535117484,NA
"Perp",3063,-1.01675442861368,0.893342702422087,NA
"Plekha7",3158,-0.911539873883477,0.628231659286691,NA
"Pltp",3173,-0.579612818620102,0.588832502025432,NA
"Ptch2",3300,-1.50892227477027,1.28013035788978,NA
"Ripply3",3490,-0.99380927138334,0.783358326372538,NA
"Rnf43",3506,-0.863582029109393,0.660974370821187,NA
"Scd4",3581,-1.66280652674557,0.690430111610798,NA
"Sema3d",3615,-0.630063124672726,0.862665118386816,NA
"Sez6",3650,-1.04020762409474,1.01169537394905,NA
"Sorbs2",3861,-0.754513787935152,0.791970509697879,NA
"Spo11",3902,-1.20033821360002,0.6417492713236,NA
"Susd4",3972,-0.766257513269134,0.628098434817373,NA
"Syp",3995,-0.908845169791491,0.651417760815172,NA
"Tdrp",4050,-0.833529979431939,0.841629522293427,NA
"Tmem255a",4159,-0.513535057262108,1.0265561315497,NA
"Tnk1",4204,-1.37122230461418,0.679825425349996,NA
"Trim29",4247,-1.36248483832487,1.01957833717427,NA
"Trpv6",4270,-1.83975271541895,0.638354881006412,NA
"Wnt10b",4390,-1.95447862070568,1.27303806289576,NA
"Wnt3",4395,-2.46679484684158,1.07011546301107,NA
"Wnt3a",4396,-1.83560149469441,0.619321068794813,NA
"Adgrb1",221,1.05378001762457,0.816657179584389,-0.627028541225055
"Calb1",622,1.1919238377957,1.55243416758339,-0.995776860652624
"Cntnap2",926,0.856555411743685,0.860715339875934,-0.796993835830451
"Necab1",2786,1.4845275669678,0.668151088987962,-0.690785125001602
"Nell2",2794,1.02420024422256,0.996357930385552,-0.646948256807549
"Nxpe2",2920,0.809414744244964,0.930792513668818,-0.843287778997568
"Oprk1",2944,1.61855633394512,1.05157564272496,-0.773037315129756
"Rdh10",3431,1.12586053642937,0.560113212912199,-0.58979585267698
"Sstr1",3928,0.564653939658675,1.11204973314511,-0.788896672037767
"Adcyap1",217,1.45272638325723,NA,-0.755004569867616
"Clic6",893,1.57931087246986,NA,-0.654738355185146
"Fam19a1",1421,0.686842194545296,NA,-0.78543370381007
"Moxd1",2642,1.33106622289961,NA,-0.616793090480503
"Pde8b",3047,0.782454282236845,NA,-0.552142970654119
