"","Symbol","E12/E11","E13/E12","E14/E13","E13/E11","E14/E11","E14/E12"
"1","1810013A23Rik",NA,NA,NA,NA,1.75295568091811,NA
"2","2610008E11Rik",NA,NA,-0.500475121792546,-0.500475121792546,-0.771711806501582,-0.691932340100636
"3","2810021J22Rik",NA,NA,NA,NA,-0.684880549374307,NA
"4","5730507C01Rik",NA,NA,NA,NA,-1.15960254594105,-0.651383233119316
"5","9130023H24Rik",NA,NA,NA,NA,-0.645884885341064,NA
"6","Aff2",-0.789000627999385,-0.617237187272768,NA,NA,-1.75744470775454,-0.935198452498119
"7","Aff3",NA,-0.747259618166487,NA,NA,-1.64389690387277,-1.20307685088952
"8","Ahr",1.49376974112424,0.574910178506911,NA,NA,2.76438360441651,0.974235607355874
"9","Ahrr",NA,NA,NA,NA,0.684555489117454,0.590223962026376
"10","AI854703",NA,NA,NA,NA,-0.72309526610579,NA
"11","Aire",NA,-0.872998846099423,NA,NA,NA,NA
"12","Alx1",NA,NA,NA,NA,-0.664376256425177,NA
"13","Alx3",NA,NA,NA,NA,-0.634653033475524,NA
"14","Alx4",-0.798749879750064,NA,NA,NA,-1.18445790309119,NA
"15","Ar",1.89585247111675,0.834003693833141,NA,NA,4.11424847935054,1.27710406446759
"16","Arid1a",NA,NA,NA,NA,-0.754448590055616,NA
"17","Arid1b",NA,NA,NA,NA,-0.52856656511859,NA
"18","Arid2",NA,NA,NA,NA,-0.854860183836612,-0.525305639727487
"19","Arid3a",-0.517116958550562,NA,NA,NA,NA,0.544993508033736
"20","Arid3b",-1.44367807647974,NA,NA,NA,-1.79669807767606,NA
"21","Arid4b",NA,NA,NA,NA,-0.613907853231244,NA
"22","Arid5a",NA,NA,NA,NA,1.41481081374128,0.876028009643884
"23","Arid5b",NA,NA,NA,NA,-0.537261302934559,NA
"24","Arnt2",NA,NA,NA,NA,-0.925030646854411,-1.00751059002392
"25","Arntl2",1.15477806044287,NA,NA,NA,NA,NA
"26","Ascl2",NA,NA,NA,NA,2.01791649827943,1.31843061530903
"27","Atf2",NA,NA,NA,NA,-0.663374633453373,-0.521071371321045
"28","Atf3",1.82488455297712,NA,NA,NA,NA,NA
"29","Atf5",NA,0.514630682965437,NA,NA,1.55821133626688,1.25279677956837
"30","Atoh8",NA,NA,NA,NA,-0.654480973363116,NA
"31","AW146154",NA,NA,NA,NA,-0.710213293224848,-0.576429425990137
"32","Bach2",NA,NA,NA,NA,-1.10550050255132,-0.810207472797194
