"","Symbol","E12/E11","E13/E12","E14/E13"
"1","2610008E11Rik",NA,NA,-0.586381163223203
"2","Aff2",-0.822019716558453,NA,NA
"3","Aff3",NA,-0.626142074809219,-0.570915144266307
"4","Ahr",1.17229548657147,1.03261814992711,NA
"5","Alx4",-0.676625471743616,NA,NA
"6","Ar",1.46864641447377,2.14818414760914,NA
"7","Arid3a",NA,NA,0.576658374516857
"8","Arid3b",-1.18864519552135,-0.771875152762864,NA
"9","Arid5a",0.549665763915753,NA,0.616691257099109
"10","Arnt2",NA,NA,-0.629318665081857
"11","Arntl2",0.840312585347922,NA,NA
"12","Arx",NA,-0.717120806037462,NA
"13","Ascl2",NA,NA,0.976464872878006
"14","Atf3",2.88776029766655,-1.23212513218977,NA
"15","Atf5",NA,0.501279177369871,0.785726463563991
"16","AW146154",NA,NA,-0.510096168387285
"17","Barx1",1.39659710478868,NA,NA
"18","Barx2",1.1370873329714,NA,NA
"19","Batf",1.23161741086351,NA,1.40749010355828
"20","Batf3",NA,0.544992213323982,NA
"21","Bcl11b",NA,0.582706036913878,NA
"22","Bcl6",1.04327122850072,1.24894464821314,NA
"23","Bcl6b",NA,0.730844545764319,-0.584418333220163
"24","Bhlha9",-2.5635772742847,NA,-1.05203008147212
"25","Bhlhe22",1.05679259629391,1.96860102577089,NA
"26","Bhlhe23",NA,0.821348810400211,-1.00033425586934
"27","Bhlhe40",0.767905276086094,NA,NA
"28","Bhlhe41",1.4800917856421,NA,0.666593057332719
"29","Bnc1",0.535018322761507,-0.936569556184009,NA
"30","Camta1",NA,NA,-0.55670614310005
"31","Casz1",0.76826091904011,1.26542881701227,NA
"32","Cebpa",1.24117437901777,NA,1.111566314002
"33","Cebpb",1.40182684457767,NA,NA
"34","Cebpd",0.729326629062519,NA,0.989697741428197
"35","Cpeb1",NA,0.626271956904618,NA
"36","Creb3",NA,NA,0.588831777291877
"37","Creb3l1",2.58410107502465,1.16911543309658,0.649545376209778
"38","Creb5",0.937530284233389,NA,NA
"39","Csrnp1",0.939534976701901,NA,0.865648477464697
"40","Cux2",NA,NA,-1.03663860583748
"41","Dach1",NA,NA,-1.2459379212041
"42","Dach2",NA,NA,-0.927578554306874
"43","Dbx1",2.46340034179358,NA,NA
"44","Dbx2",2.09501422145297,1.36080537251401,-0.929599365411567
"45","Dlx1",NA,NA,-0.852730482213209
"46","Dlx2",-1.30850481857163,NA,-0.772183655845399
"47","Dlx3",-1.25338963148197,1.04344128266822,NA
"48","Dlx4",NA,1.15320608983068,NA
"49","Dlx5",-0.517692200018758,NA,NA
"50","Dmbx1",-0.9586150170851,NA,NA
"51","Dmrt2",0.674041309101473,0.613052206646316,NA
"52","Dmrt3",NA,NA,0.936690137821104
"53","Dmrta1",NA,-0.866706347403088,NA
"54","Dmrta2",-1.4164218519265,NA,NA
"55","E2f7",-0.667873607149794,NA,NA
"56","Ebf2",0.784195830103717,-0.573571606858381,NA
"57","Ebf3",NA,-0.522009900825806,NA
"58","Ebf4",NA,0.592979912133402,NA
"59","Egr1",2.14665713134025,-0.791231032464636,NA
"60","Egr2",2.62175049393673,NA,0.878511325272552
"61","Egr3",2.78124513785623,NA,NA
"62","Egr4",1.72917633442367,NA,NA
"63","Ehf",0.873836560567085,NA,NA
"64","Elf1",NA,NA,0.65527125652499
"65","Elf3",-0.954202720896406,NA,NA
"66","Elf4",0.876572786491297,0.527385295062405,0.698480445494823
"67","Emx1",-1.92256540808263,NA,-0.589350667587704
"68","Emx2",0.501290073261524,NA,NA
"69","Eomes",NA,-0.90903983159703,NA
"70","Epas1",NA,1.00850662085406,NA
"71","Esr1",NA,0.687834487528088,-0.623215456982573
"72","Esr2",NA,-0.746369518702052,NA
"73","Esrrb",0.692988196166342,NA,NA
"74","Esrrg",NA,-0.558212897990027,NA
"75","Etv2",NA,-0.807615599283182,NA
"76","Etv4",-1.10649219401006,NA,-0.623608873280323
"77","Etv5",-0.610123546985478,NA,NA
"78","Evx1",-1.8694566775016,NA,-0.863148161173199
"79","Evx2",NA,-0.917754617167471,-0.856004279694519
"80","Fezf2",2.87992535389147,-1.7428845670594,NA
"81","Fli1",-0.713960373926402,NA,NA
"82","Fos",1.88745801085089,-0.638359744267804,0.793278886785867
"83","Fosb",1.74051942428297,-1.37462849920876,0.812237955556349
"84","Fosl2",0.786098673939084,0.617094669928563,0.751027653529609
"85","Foxa1",1.39487805761042,-1.48609352459534,NA
"86","Foxa3",NA,0.945860847888668,NA
"87","Foxb2",-1.32095394469978,0.84605283847093,-1.33541114317752
"88","Foxc1",-0.737916541542546,NA,NA
"89","Foxc2",-0.842633983687602,NA,NA
"90","Foxd1",NA,NA,1.29441245003436
"91","Foxd3",1.50030341405052,NA,NA
"92","Foxf2",0.863471123113865,2.97114709268628,NA
"93","Foxg1",NA,-0.631239907698387,NA
"94","Foxh1",NA,NA,1.13315746240187
"95","Foxi3",-1.25750245286814,1.63756434342097,NA
"96","Foxj1",NA,-0.520763675726156,NA
"97","Foxl2",1.10391502481732,NA,NA
"98","Foxn1",NA,1.27163509872244,NA
"99","Foxo6",NA,0.628683296214841,NA
"100","Foxp1",0.650830933065393,NA,NA
"101","Foxq1",1.12596969346235,2.2803661708745,NA
"102","Gabpb1",-0.509715136667939,NA,NA
"103","Gata1",NA,NA,1.178744134355
"104","Gata2",1.14995910373509,NA,1.3899636844876
"105","Gata3",-0.721183937740018,0.67265786093662,NA
"106","Gata4",NA,-1.60566522347151,NA
"107","Gata5",NA,-1.31899474227816,NA
"108","Gata6",0.998079812710428,NA,NA
"109","Gfi1",0.90528284504497,NA,1.40191316677649
"110","Gfi1b",NA,-0.839698358731253,NA
"111","Gli1",-0.52856083853501,0.897265515908249,NA
"112","Gli3",NA,NA,-0.709198587536362
"113","Gm10778",-0.808492270195431,NA,NA
"114","Gm20939",NA,NA,-0.705243708588112
"115","Gm5141",NA,NA,-0.597137246991574
"116","Grhl2",-1.32130574159202,NA,NA
"117","Gsc",-0.630498384883244,-1.12070887247351,NA
"118","Hand1",1.32534050297407,NA,NA
"119","Hand2",-0.887735295712848,-0.714273710693357,NA
"120","Hes5",NA,1.08035994821322,NA
"121","Hey1",-0.763434705693921,-0.819666203349655,NA
"122","Hey2",1.09895162113386,NA,NA
"123","Heyl",1.37656354743601,NA,NA
"124","Hhex",NA,NA,0.680472520814393
"125","Hic1",1.42570365961208,NA,NA
"126","Hic2",-0.600414169128834,NA,NA
"127","Hif3a",NA,0.564477609291393,NA
"128","Hivep2",1.10376469377633,0.592745706251171,NA
"129","Hivep3",1.21942596256324,NA,0.668138971268471
"130","Hlf",2.08333254882729,1.24776700028609,NA
