"","E12.E11","E13.E12","E14.E13","EntrezID","Symbol","Family"
"72128",0,0,-1,"72128","2610008E11Rik","zf-C2H2"
"14266",-1,0,0,"14266","Aff2","AF-4"
"16764",0,-1,-1,"16764","Aff3","AF-4"
"11622",1,1,0,"11622","Ahr","bHLH"
"11695",-1,0,0,"11695","Alx4","Homeobox"
"11835",1,1,0,"11835","Ar","ESR-like"
"13496",0,0,1,"13496","Arid3a","ARID"
"56380",-1,-1,0,"56380","Arid3b","ARID"
"214855",1,0,1,"214855","Arid5a","ARID"
"11864",0,0,-1,"11864","Arnt2","bHLH"
"272322",1,0,0,"272322","Arntl2","bHLH"
"17173",0,0,1,"17173","Ascl2","bHLH"
"11910",1,-1,0,"11910","Atf3","TF_bZIP"
"107503",0,0,1,"107503","Atf5","TF_bZIP"
"12022",1,0,0,"12022","Barx1","Homeobox"
"12023",1,0,0,"12023","Barx2","Homeobox"
"53314",1,0,1,"53314","Batf","TF_bZIP"
"58208",0,1,0,"58208","Bcl11b","zf-C2H2"
"12053",1,1,0,"12053","Bcl6","ZBTB"
"12029",0,1,0,"12029","Bcl6b","ZBTB"
"320522",-1,0,-1,"320522","Bhlha9","bHLH"
"59058",1,1,0,"59058","Bhlhe22","bHLH"
"20893",1,0,0,"20893","Bhlhe40","bHLH"
"79362",1,0,1,"79362","Bhlhe41","bHLH"
"12173",1,-1,0,"12173","Bnc1","zf-C2H2"
"100072",0,0,-1,"100072","Camta1","CG-1"
"69743",1,1,0,"69743","Casz1","Others"
"12606",1,0,1,"12606","Cebpa","TF_bZIP"
"12608",1,0,0,"12608","Cebpb","TF_bZIP"
"12609",1,0,1,"12609","Cebpd","TF_bZIP"
"26427",1,1,1,"26427","Creb3l1","TF_bZIP"
"231991",1,0,0,"231991","Creb5","TF_bZIP"
"215418",1,0,1,"215418","Csrnp1","CSRNP_N"
"13048",0,0,-1,"13048","Cux2","CUT"
"13134",0,0,-1,"13134","Dach1","DACH"
"93837",0,0,-1,"93837","Dach2","DACH"
"13172",1,0,0,"13172","Dbx1","Homeobox"
"223843",1,1,-1,"223843","Dbx2","Homeobox"
"13390",0,0,-1,"13390","Dlx1","Homeobox"
"13392",-1,0,0,"13392","Dlx2","Homeobox"
"13393",-1,1,0,"13393","Dlx3","Homeobox"
"13394",0,1,0,"13394","Dlx4","Homeobox"
"13395",-1,0,0,"13395","Dlx5","Homeobox"
"140477",-1,0,0,"140477","Dmbx1","Homeobox"
