"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4"
"0610005C13Rik",0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,2,0,1,0,0
"0610007P14Rik",1005,1020,1002,1153,624,1026,1096,996,902,1551,737,869,2166,1405,1234,1294,919,858,858,894,802,900,960
"0610009B22Rik",450,415,421,423,254,387,360,295,283,474,218,308,583,408,416,345,247,231,288,223,222,263,257
"0610009L18Rik",25,56,41,32,34,29,35,32,29,65,30,27,59,53,38,52,38,34,32,31,27,37,46
"0610009O20Rik",2118,2105,1919,2264,1178,1519,1830,1889,1844,2713,1387,1499,4236,2652,2291,2535,1857,1583,1731,1763,1441,1834,1936
"0610010B08Rik",16,12,11,12,10,11,16,12,25,23,14,15,38,34,15,32,16,15,18,12,10,7,19
"0610010F05Rik",1263,1359,1377,1634,768,1433,1451,1215,959,1751,853,1003,2286,1583,1363,1427,987,777,791,790,775,969,909
"0610010K14Rik",1195,1170,1276,1481,751,912,998,975,992,1535,965,730,2058,1294,1239,1052,915,948,947,952,851,815,941
"0610011F06Rik",422,395,371,471,263,374,377,339,327,509,293,272,622,358,388,347,272,257,301,237,210,274,294
"0610012G03Rik",696,642,684,826,450,607,801,755,827,1165,596,548,1623,1023,983,924,678,788,935,802,736,709,789
"0610030E20Rik",1827,1989,1746,2027,1167,1704,1941,1726,1613,2871,1240,1566,3999,2540,2125,2136,1410,1396,1546,1533,1479,1849,1800
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0610037L13Rik",1029,971,944,1021,584,805,925,822,917,1444,796,758,2219,1363,1165,1292,897,932,859,867,808,926,1028
"0610038B21Rik",10,9,14,7,2,6,12,11,5,20,6,9,25,15,14,17,7,2,9,5,11,10,7
"0610039H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610039K10Rik",2,2,2,2,1,1,0,2,2,1,1,1,1,2,1,8,2,1,0,4,1,0,0
"0610040B10Rik",22,24,28,29,15,22,30,14,16,20,11,16,22,23,18,12,14,18,19,15,13,11,13
"0610040F04Rik",0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,3
"0610040J01Rik",89,47,41,51,36,104,99,96,143,134,98,78,199,158,125,115,69,56,91,102,110,50,79
"0610043K17Rik",4,1,2,1,2,2,7,4,4,10,6,5,3,12,5,9,7,1,1,2,5,3,10
"1010001N08Rik",19,15,8,28,5,21,52,29,15,38,10,17,62,29,17,67,30,30,17,42,37,9,6
"1110001J03Rik",193,222,182,215,116,156,174,130,197,307,149,135,399,239,248,161,114,199,241,187,150,163,184
"1110002L01Rik",1201,1221,1224,1347,814,873,1011,839,848,1378,751,758,1691,1146,1018,991,690,605,742,617,504,655,699
"1110004E09Rik",434,417,418,483,234,348,400,381,395,641,343,315,793,509,487,413,311,332,352,317,272,354,408
"1110004F10Rik",3879,3956,3860,4506,2464,3636,4025,3516,2923,4826,2595,2667,6177,4214,3670,3540,2575,2496,2581,2233,2087,2732,2701
"1110006O24Rik",24,27,19,34,16,19,24,20,24,34,27,12,39,23,27,20,12,20,32,16,10,16,13
"1110007C09Rik",248,239,219,253,110,280,316,295,297,545,262,253,865,556,421,428,350,340,350,355,333,422,483
"1110008F13Rik",1505,1604,1420,1820,971,1284,1702,1423,1717,2161,1262,1175,2782,2038,1826,1687,1257,1365,1909,1605,1442,1263,1454
"1110008L16Rik",644,674,631,732,420,533,563,564,489,747,340,409,884,603,488,559,382,347,462,397,303,392,425
