"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","Family"
"Ahr",0,0.150298541284217,0.131696257237281,0.184802085094138,0.222484796883602,0.148857465856834,0.273686728328028,0.154183744417502,0.541454965356589,0.818002879168283,0.63019981603416,0.683844450750406,0.83668345948931,0.895559712874094,0.84006230878978,0.831163480459366,0.776755510018659,0.808857578730889,0.578282842898976,0.796877497294102,0.937369370782114,1,0.981890344062867,"bHLH"
"Arntl2",0.211315970330185,0.526578166989564,0.362008422272078,0.488425134020112,0.671014726120776,0.644131724150342,0.510933718346812,0.452097897227935,0.641684448171552,0.973580408634919,0.888053792707728,0.993116969501116,0.783672817128676,0.993177708250437,0.576113483012354,0.515716379098619,0.690742987500719,0.433847346062361,0.60124625211861,0.491974409062164,0,1,0.925339892652356,"bHLH"
"Bhlhe22",0,0.054159138950531,0.119079769524421,0.0622233803483634,0.156164929994823,0.000192968133306243,0.305977513788889,0.216454235769977,0.0593485658967508,0.647743377445669,0.510024114661512,0.54257368478282,1,0.94544641039034,0.730841795103469,0.772550146894086,0.798342184827469,0.756119431033171,0.319135947297963,0.726412506434677,0.675983856748785,0.846111825175628,0.642557258748635,"bHLH"
"Bhlhe40",0,0.35158289884217,0.163918625460895,0.44289188919261,0.313214879390779,0.0147006916791429,0.205272583854882,0.802793861878793,0.15133183732342,0.630007958910364,0.55254189266792,0.507614564678225,0.675348960047984,0.606801435793109,0.664717804930081,0.446307110498916,0.593553544247963,0.622246301304551,0.441082381196927,0.406695877868758,0.417773373774905,0.925908800855188,1,"bHLH"
"Hey2",0.330259388475179,0.202982099921767,0.337389735324772,0.348515984995033,0,0.677946149454031,0.700536484480999,0.521031943558887,0.504843611197009,0.819946723331142,0.571877982402348,0.589598021246423,0.981035072894475,0.976147068882841,0.885182142410972,0.924942242328787,1,0.881711603957077,0.278345639945395,0.57978280388724,0.783068415657483,0.855497328673828,0.809741865722992,"bHLH"
"Heyl",0.321404747996363,0.139361653698817,0.0505749608631434,0.11533371383341,0,0.219245443377265,0.422534769823235,0.34765557936827,0.831407092725297,0.75791506877906,0.55923121016827,0.62977691088698,0.795664080603394,0.990515938100323,0.710856610299451,1,0.760029453318156,0.806689603354503,0.637867872703004,0.888427906161931,0.921335722515648,0.628740672547548,0.634341673404301,"bHLH"
"Hif3a",0.347051907959145,0.483424259172136,0.447281136547662,0.267959683172878,0.461955830974739,0,0.0169145713285679,0.279983979127295,0.122654223423467,0.509985307470823,0.272764408997579,0.317198378912833,0.801971151522685,0.499849546249549,0.268038171231451,0.860497079243031,0.849930774092814,0.829428828430175,0.0947368273709438,0.654893060362909,0.808725828967667,1,0.946955267474629,"bHLH"
"Msc",0.871048028841765,0.536305924127502,0.493786977030003,0,0.0473310927458192,0.602225910757136,0.799854973492517,0.775024591915763,0.869626478801341,0.663529495809619,0.656000809625003,0.630199663228839,0.472280714607614,0.843027432881961,0.619511413192398,0.941643734835805,0.504382374270488,0.525487249362911,0.975101999668944,0.95079093298081,1,0.174410597070347,0.524849188154855,"bHLH"
"Myc",0.615688156395321,0.202515217345247,0.292168482065185,0.00416162622132103,0.243268608822774,0,0.200739558191868,0.26937446802314,0.699734916214944,0.611317843160759,0.625067600733676,0.533175398738499,0.741294909754911,0.688520530203624,0.735752424774349,0.735836867634793,0.819420869727391,0.663150528863862,0.936431662201788,0.754451238564205,1,0.826959131285065,0.745619779718177,"bHLH"
"Myog",0.625867945983823,0.434269060380304,0.438593813696305,0.153950691735053,0.136840365936676,0.519062149560095,0.655406752952787,0.51683257003686,0.442835995517447,0,0.359511842047707,0.597417660826452,0.610371192824818,0.84874121067244,0.479915067716502,0.944693953112076,0.483657350133175,0.774414279509605,0.716588572482706,0.920799001103531,1,0.316876093294193,0.463059133181666,"bHLH"
