"","E12.E11","E13.E12","E14.E13"
"Ascl2",0,0,1
"Tfec",1,0,1
"Mitf",1,0,1
"Bhlhe41",1,0,1
"Lyl1",1,0,1
"Tal2",0,1,0
"Mxd3",0,1,0
"Hes5",0,1,0
"Hif3a",0,1,0
"Twist2",1,1,0
"Npas2",1,1,0
"Ahr",1,1,0
"Bhlhe22",1,1,0
"Tfeb",1,0,0
"Tcf24",1,0,0
"Npas4",1,0,0
"Npas3",1,0,0
"Ncoa1",1,0,0
"Myog",1,0,0
"Myod1",1,0,0
"Myc",1,0,0
"Msc",1,0,0
"Heyl",1,0,0
"Hey2",1,0,0
"Hand1",1,0,0
"Arntl2",1,0,0
"Bhlhe40",1,0,0
"Arnt2",0,0,-1
"Mycn",-1,0,-1
"Bhlha9",-1,0,-1
"Mlxipl",-1,0,-1
"Hand2",-1,-1,0
"Hey1",-1,-1,0
"Sim2",0,-1,0
"Myf5",0,-1,0
"Sim1",0,-1,0
"Etv4",-1,0,-1
"Fli1",-1,0,0
"Elf3",-1,0,0
"Etv5",-1,0,0
"Elf4",1,1,1
"Elf1",0,0,1
"Ehf",1,0,0
"Spi1",1,0,1
"Foxi3",-1,1,0
"Foxc2",-1,0,0
"Foxb2",-1,0,0
"Foxc1",-1,0,0
"Foxa3",0,1,0
"Foxn1",0,1,0
"Foxf2",1,1,0
"Foxq1",1,1,0
"Foxd1",0,0,1
"Foxa1",1,-1,0
"Foxp1",1,0,0
"Foxd3",1,0,0
"Foxl2",1,0,0
"Six2",0,-1,0
"Six1",0,-1,0
"Shox2",0,-1,0
"Pknox2",0,-1,0
"Pitx2",0,-1,0
"Meis2",0,-1,0
"Meis1",0,-1,0
"Isl1",0,-1,0
"Hoxc6",0,-1,0
"Hoxb4",0,-1,0
"Hoxa7",0,-1,0
"Hoxa5",0,-1,0
"Hoxa4",0,-1,0
"Hoxa3",0,-1,0
"Evx2",0,-1,0
"Hoxa2",0,-1,0
"Six4",-1,-1,0
"Pax9",-1,-1,0
"Gsc",-1,-1,0
"Hoxa6",-1,-1,0
"Msx1",0,0,-1
"Lmx1b",0,0,-1
"Dlx1",0,0,-1
"Hoxd13",0,0,-1
"Hoxa9",-1,0,-1
"Hoxd11",-1,0,-1
"Lhx9",-1,-1,-1
"Hoxd12",0,-1,-1
"Lhx2",0,-1,-1
"Pou3f3",1,0,0
"Pitx3",1,0,0
"Pitx1",1,0,0
"Pax7",1,0,0
"Nanog",1,0,0
"Meox1",1,0,0
"Meis3",1,0,0
"Lhx8",1,0,0
"Irx1",1,0,0
"Hoxd1",1,0,0
"Hoxc8",1,0,0
"Hoxb9",1,0,0
"Hlx",1,0,0
"Emx2",1,0,0
"Dbx1",1,0,0
"Barx1",1,0,0
"Barx2",1,0,0
"Hoxc4",1,-1,0
"Hoxc5",1,-1,0
"Pou2f2",1,0,1
"Hhex",0,0,1
"Lmx1a",0,0,1
"Dbx2",1,1,-1
"Pou3f1",1,1,0
"Irx2",1,1,0
"Irx5",1,1,0
"Vax2",0,1,0
"Pou2f3",0,1,0
"Pax6",0,1,0
"Pax3",0,1,0
"Mkx",0,1,0
"Lhx6",0,1,0
"Irx6",0,1,0
"Hoxd8",0,1,0
"Dlx4",0,1,0
"Hopx",0,1,0
"Uncx",-1,0,0
"Rax",-1,0,0
"Prrx1",-1,0,0
"Pou4f1",-1,0,0
"Pou2f1",-1,0,0
"Pbx3",-1,0,0
"Nkx3-1",-1,0,0
"Nkx1-1",-1,0,0
"Msx2",-1,0,0
"Mnx1",-1,0,0
"Lhx1",-1,0,0
"Isl2",-1,0,0
"Hoxd9",-1,0,0
"Hoxd4",-1,0,0
"Hoxd10",-1,0,0
"Hoxc13",-1,0,0
"Hoxc12",-1,0,0
"Hoxc11",-1,0,0
"Hoxc10",-1,0,0
"Hoxa11",-1,0,0
"Hoxa10",-1,0,0
"Evx1",-1,0,0
"Emx1",-1,0,0
"Dmbx1",-1,0,0
"Dlx5",-1,0,0
"Alx4",-1,0,0
"Dlx2",-1,0,0
"Dlx3",-1,1,0
"Irx4",-1,1,0
"Tbx20",1,0,0
"Eomes",0,-1,0
"Tbx3",0,-1,0
"T",-1,0,0
"Tbx22",-1,0,0
"Jdp2",0,1,0
"Mafb",0,1,0
"Hlf",1,1,0
"Creb3l1",1,1,1
"Fosl2",1,1,1
"Atf5",0,0,1
"Nfe2l2",0,0,1
"Mafk",1,0,1
"Maf",1,0,1
"Jund",1,0,1
"Cebpd",1,0,1
"Batf",1,0,1
"Cebpa",1,0,1
"Jun",1,-1,1
"Atf3",1,-1,0
"Fosb",1,-1,0
"Nfe2l3",1,0,0
"Maff",1,0,0
"Junb",1,0,0
"Fos",1,0,0
"Cebpb",1,0,0
"Creb5",1,0,0
"Zbtb39",-1,0,0
"Zbtb26",-1,0,0
"Zbtb16",-1,0,0
"Zbtb12",-1,0,0
"Hic2",-1,0,0
"Patz1",-1,0,0
"Bcl6b",0,1,0
"Bcl6",1,1,0
"Zbtb4",1,1,0
"Zbtb7b",1,0,1
"Zbtb7c",1,0,0
"Hic1",1,0,0
"Zbtb20",1,0,0
"Zfp831",1,0,-1
"Wt1",1,-1,0
"Fezf2",1,-1,0
"Bnc1",1,-1,0
"Egr1",1,-1,0
"Zkscan4",1,0,0
"Zim1",1,0,0
"Zfp641",1,0,0
"Zfp575",1,0,0
"Zfp36l1",1,0,0
"Zfp112",1,0,0
"Tshz3",1,0,0
"Tshz2",1,0,0
"Rreb1",1,0,0
"Prdm8",1,0,0
"Osr1",1,0,0
"Myt1l",1,0,0
"Klf8",1,0,0
"Klf7",1,0,0
"Jazf1",1,0,0
"Ikzf3",1,0,0
"Gfi1",1,0,0
"Gata6",1,0,0
"Egr4",1,0,0
"Egr2",1,0,0
"Egr3",1,0,0
"Zfpm2",1,1,0
"Zfp536",1,1,0
"Zeb2",1,1,0
"Sp5",1,1,0
"Plagl1",1,1,0
"Hivep2",1,1,0
"Klf14",1,1,0
"Zfp710",0,0,1
"Gata1",0,0,1
"Zfp385a",0,0,1
"Klf6",1,0,1
"Klf4",1,0,1
"Klf2",1,0,1
"Ikzf1",1,0,1
"Gata2",1,0,1
"Hivep3",1,0,1
"Zfp366",0,1,0
"Prdm6",0,1,0
"Bcl11b",0,1,0
"Klf5",0,1,0
"Sp9",-1,1,0
"Gli1",-1,1,0
"Sp7",-1,1,0
"Zfp184",0,-1,-1
"Zfp941",0,-1,0
"Zfp663",0,-1,0
"Zfp423",0,-1,0
"Gata4",0,-1,0
"Gata5",0,-1,0
"Zscan10",-1,0,0
"Zic4",-1,0,0
"Zic3",-1,0,0
"Zic2",-1,0,0
"Zfp819",-1,0,0
"Zfp664",-1,0,0
"Zfp473",-1,0,0
"Zfp459",-1,0,0
"Zfp457",-1,0,0
"Zfp41",-1,0,0
"Zfp354b",-1,0,0
"Zfp113",-1,0,0
"Trps1",-1,0,0
"Sp8",-1,0,0
"Sp6",-1,0,0
"Sp4",-1,0,0
"Prdm14",-1,0,0
"Osr2",-1,0,0
"Insm1",-1,0,0
"Gata3",-1,0,0
"Gm10778",-1,0,0
"Zic5",-1,-1,0
"Sall3",-1,-1,0
"Sall4",-1,-1,0
"Zik1",-1,-1,-1
"Mecom",-1,-1,-1
"Prdm16",-1,-1,-1
"Zkscan2",0,0,-1
"Zfp599",0,0,-1
"Gm20939",0,0,-1
"2610008E11Rik",0,0,-1
"Gli3",0,0,-1
"Zfp946",-1,0,-1
"Zfp760",-1,0,-1
"Sall1",-1,0,-1
"Zfp101",-1,0,-1
