"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4"
"Scn1a",112,125,112,68,47,164,134,135,97,132,133,122,139,71,101,92,87,45,67,41,33,53,75
"Ttn",1914,1019,958,488,235,1019,1077,1116,955,724,653,1485,2803,2943,1573,3552,1163,1127,1272,2037,1602,1449,2062
"Tnni2",79,30,36,42,15,49,86,83,86,68,57,92,136,145,72,147,78,121,186,116,169,268,194
"Tnni1",313,114,114,108,28,204,403,199,173,275,143,243,548,593,246,737,316,380,282,539,594,217,285
"Tnnc1",361,108,125,88,45,220,343,239,175,336,111,183,342,334,178,414,219,226,270,357,419,159,181
"Tmod1",151,80,75,46,30,109,202,135,93,108,51,96,260,208,133,209,111,130,121,185,207,81,136
"Tcap",18,11,13,17,3,15,15,17,15,28,11,18,24,18,19,24,25,8,5,19,22,20,30
"Syne2",5871,8053,7307,7368,3381,4429,4016,5133,3476,6083,3010,3137,6836,3530,3947,4773,3239,2183,2931,2641,1506,3133,2905
"Syne1",664,803,810,669,340,692,738,868,625,1387,734,954,2536,1567,1134,1839,957,918,610,858,756,1787,1808
"Sdc4",436,647,550,673,393,529,778,660,669,1579,1009,1014,2286,1685,1175,1028,802,857,807,860,863,1285,1338
"Ryr3",74,33,65,27,19,77,93,132,61,160,61,82,250,181,107,277,169,104,60,142,98,114,106
"Pygm",164,93,101,86,40,137,192,126,157,175,97,121,356,225,140,256,187,179,187,210,207,155,189
"Psen2",323,222,249,259,154,234,336,263,408,476,238,294,818,572,562,551,351,380,375,409,426,656,654
"Plec",4403,5919,5678,6299,3265,3749,4160,4947,4614,11409,6071,6588,21774,12353,9107,13679,9316,6583,4111,7739,5878,15248,13728
"Pdlim2",114,140,127,148,67,135,168,118,135,204,127,122,363,205,193,203,119,165,194,170,145,365,264
"Obscn",152,75,61,38,15,65,86,110,72,98,45,89,353,276,125,294,148,110,52,131,143,171,257
"Nexn",730,416,407,390,208,914,1114,1013,766,1124,485,647,1674,1302,852,1198,776,843,725,884,939,932,861
