"","merged_data.Symbol","E12/E11","E13/E12","E14/E13"
"1","Abra",1,0,0
"2","Actb",1,0,0
"3","Actl6a",-1,0,0
"4","Actr6",-1,0,0
"5","Adrb2",1,0,1
"6","Aebp1",1,1,1
"7","Ago1",-1,0,0
"8","Ago2",-1,0,0
"9","Aim2",1,0,1
"10","Ajuba",-1,0,0
"11","Ankrd1",1,0,0
"12","Anp32e",-1,0,0
"13","Anxa4",1,1,0
"14","Apbb1",-1,0,0
"15","Apex1",-1,0,0
"16","Arhgap35",-1,0,0
"17","Arhgef5",-1,0,0
"18","Arrb2",0,0,1
"19","Ascc2",-1,0,0
"20","Asf1b",-1,0,0
"21","Asxl1",-1,0,0
"22","Aurkb",-1,0,0
"23","Bahcc1",-1,0,0
"24","Basp1",1,0,0
"25","Baz1b",-1,0,0
"26","BC004004",1,0,0
"27","Bcl3",1,0,1
"28","Bcl9",-1,0,0
"29","Bend3",-1,0,0
"30","Bex2",-1,-1,-1
"31","Birc5",-1,0,0
"32","Blm",-1,0,0
"33","Brca1",-1,0,0
"34","Brca2",-1,0,0
"35","Brd8",-1,0,0
"36","Brdt",1,0,0
"37","Brf2",-1,0,0
"38","Brip1",-1,0,0
"39","Brwd1",-1,0,0
"40","Btk",1,0,1
"41","Calr",1,0,0
"42","Camk2a",1,0,0
"43","Camk2d",1,0,0
"44","Camk4",1,0,0
"45","Casp8ap2",-1,0,0
"46","Cbfa2t3",1,0,0
"47","Cbl",-1,0,0
"48","Cbx2",-1,-1,-1
"49","Cbx3",-1,0,0
"50","Cbx4",1,0,0
"51","Cbx5",-1,0,0
"52","Cbx6",1,1,0
"53","Ccar2",-1,0,0
"54","Ccdc62",1,0,0
"55","Ccnt1",-1,0,0
"56","Ccnt2",-1,0,0
"57","Cdk12",-1,0,0
"58","Cdk7",-1,0,0
"59","Cdkn1b",-1,0,0
"60","Cdyl2",1,0,0
"61","Cecr2",-1,0,0
"62","Cenpf",-1,0,0
"63","Cenpu",-1,0,0
"64","Chaf1b",-1,0,0
"65","Chd3",1,0,0
"66","Chd4",-1,0,0
"67","Chd7",-1,0,0
"68","Chek1",-1,0,0
"69","Chek2",-1,0,0
"70","Cited1",1,0,0
"71","Cited2",-1,0,1
"72","Cited4",0,0,1
"73","Clu",1,1,0
"74","Cnot1",-1,0,0
