"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"2721","GO:0005623",8.61275363918197e-166,1,5611,15107,"cell","CC"
"11758","GO:0044464",9.15456458373804e-166,1,5610,15103,"cell part","CC"
"11728","GO:0044424",1.46010993079337e-157,1,4964,12896,"intracellular part","CC"
"2720","GO:0005622",5.94969373484451e-157,1,4983,12966,"intracellular","CC"
"2670","GO:0005515",4.909344186713e-154,1,3622,8536,"protein binding","MF"
"2658","GO:0005488",4.14481759393685e-151,1,4856,12520,"binding","MF"
"11222","GO:0043226",3.56316440525119e-130,1,4488,11551,"organelle","CC"
"11225","GO:0043229",3.07767362161152e-123,1,4372,11252,"intracellular organelle","CC"
"11223","GO:0043227",1.75621072606281e-109,1,4047,10365,"membrane-bounded organelle","CC"
"11227","GO:0043231",3.84203785398731e-103,1,3800,9661,"intracellular membrane-bounded organelle","CC"
"13191","GO:0048518",2.4259980200259e-100,1,2513,5759,"positive regulation of biological process","BP"
"5723","GO:0016043",2.85050470219505e-96,1,2446,5584,"cellular component organization","BP"
"16732","GO:0071840",2.1002652065179e-95,1,2494,5738,"cellular component organization or biogenesis","BP"
"13192","GO:0048519",7.48004594157726e-94,1,2236,5060,"negative regulation of biological process","BP"
"11624","GO:0044237",6.8247558608652e-93,1,3493,8832,"cellular metabolic process","BP"
"13195","GO:0048522",1.48075178236352e-92,1,2252,5096,"positive regulation of cellular process","BP"
"2777","GO:0005737",3.74392632373087e-91,1,3956,10319,"cytoplasm","CC"
"13196","GO:0048523",1.29721699312112e-88,1,2015,4489,"negative regulation of cellular process","BP"
"2722","GO:0005634",1.60711668732128e-88,1,2680,6400,"nucleus","CC"
"4708","GO:0009987",9.15786641589921e-88,1,5295,14820,"cellular process","BP"
"3978","GO:0008152",9.26255653159606e-87,1,3773,9791,"metabolic process","BP"
"3479","GO:0006807",7.31704952187196e-84,1,3288,8316,"nitrogen compound metabolic process","BP"
"11625","GO:0044238",3.70674097614695e-83,1,3447,8808,"primary metabolic process","BP"
"16666","GO:0071704",1.43221637960503e-80,1,3605,9328,"organic substance metabolic process","BP"
"7861","GO:0031323",2.10042886587864e-79,1,2224,5158,"regulation of cellular metabolic process","BP"
"11727","GO:0044422",4.93163440306104e-79,1,2843,7031,"organelle part","CC"
"11634","GO:0044260",1.25697048531356e-77,1,2751,6728,"cellular macromolecule metabolic process","BP"
"11744","GO:0044446",2.87402260968987e-76,1,2714,6692,"intracellular organelle part","CC"
"11184","GO:0043170",3.33277553403316e-75,1,3138,7926,"macromolecule metabolic process","BP"
"17245","GO:0080090",2.51181019715292e-74,1,2154,5016,"regulation of primary metabolic process","BP"
"13843","GO:0051171",2.56291368832419e-74,1,2107,4886,"regulation of nitrogen compound metabolic process","BP"
"6524","GO:0019222",1.9881333980523e-70,1,2372,5679,"regulation of metabolic process","BP"
"3569","GO:0006950",5.58083675597244e-70,1,1483,3274,"response to stress","BP"
"13224","GO:0048583",9.64501958220309e-70,1,1602,3538,"regulation of response to stimulus","BP"
"13887","GO:0051239",4.38920179829164e-68,1,1439,3105,"regulation of multicellular organismal process","BP"
"8548","GO:0032502",3.13093155399835e-66,1,2432,5874,"developmental process","BP"
"14742","GO:0060255",7.86366292460633e-65,1,2203,5251,"regulation of macromolecule metabolic process","BP"
"3032","GO:0006139",8.83386466045027e-65,1,1947,4566,"nucleobase-containing compound metabolic process","BP"
"13313","GO:0048731",2.26666766217129e-64,1,1949,4505,"system development","BP"
"13373","GO:0048856",2.44643235221184e-64,1,2298,5509,"anatomical structure development","BP"
"15702","GO:0065007",3.30307373145185e-64,1,4240,11513,"biological regulation","BP"
"9532","GO:0034641",5.70246491312468e-64,1,2162,5222,"cellular nitrogen compound metabolic process","BP"
"17552","GO:0090304",7.64829441581424e-64,1,1777,4075,"nucleic acid metabolic process","BP"
"12590","GO:0046483",1.5999026137965e-63,1,1986,4693,"heterocycle metabolic process","BP"
"11731","GO:0044428",4.84783291281994e-63,1,1649,3744,"nuclear part","CC"
"3434","GO:0006725",2.92260228970204e-62,1,2002,4755,"cellular aromatic compound metabolic process","BP"
"3761","GO:0007275",3.20753020703802e-62,1,2140,5073,"multicellular organism development","BP"
"11181","GO:0043167",1.83268638863234e-61,1,2238,5286,"ion binding","MF"
"13849","GO:0051179",7.843145287033e-61,1,2282,5501,"localization","BP"
"13590","GO:0050789",3.8239009765889e-60,1,4037,10923,"regulation of biological process","BP"
"4677","GO:0009893",9.28589024543768e-60,1,1490,3331,"positive regulation of metabolic process","BP"
"7863","GO:0031325",8.25440405077596e-59,1,1387,3060,"positive regulation of cellular metabolic process","BP"
"19226","GO:1901360",2.00254246908896e-58,1,2047,4932,"organic cyclic compound metabolic process","BP"
"13845","GO:0051173",2.08973284755574e-57,1,1336,2937,"positive regulation of nitrogen compound metabolic process","BP"
"13594","GO:0050794",1.34993327962985e-56,1,3802,10228,"regulation of cellular process","BP"
"11742","GO:0044444",1.85421649279944e-56,1,3001,7836,"cytoplasmic part","CC"
"4701","GO:0009966",1.9000205225967e-56,1,1224,2647,"regulation of signal transduction","BP"
"4880","GO:0010604",7.58433393400793e-56,1,1387,3083,"positive regulation of macromolecule metabolic process","BP"
"9543","GO:0034654",1.01999260344631e-55,1,1419,3177,"nucleobase-containing compound biosynthetic process","BP"
"11630","GO:0044249",1.19547342372004e-55,1,1938,4661,"cellular biosynthetic process","BP"
"4673","GO:0009889",1.29443098028036e-55,1,1498,3385,"regulation of biosynthetic process","BP"
"4355","GO:0009058",1.4936973104899e-55,1,1996,4831,"biosynthetic process","BP"
"8871","GO:0032991",3.4959249368614e-55,1,2079,5121,"protein-containing complex","CC"
"6602","GO:0019438",1.6053319502787e-54,1,1441,3251,"aromatic compound biosynthetic process","BP"
"6521","GO:0019219",2.32544807799735e-54,1,1429,3202,"regulation of nucleobase-containing compound metabolic process","BP"
"7864","GO:0031326",7.38751877160457e-54,1,1467,3316,"regulation of cellular biosynthetic process","BP"
"6352","GO:0018130",1.40283574128687e-53,1,1433,3240,"heterocycle biosynthetic process","BP"
"19295","GO:1901576",2.50396395663855e-53,1,1957,4745,"organic substance biosynthetic process","BP"
"8211","GO:0031981",2.59321996150304e-53,1,1453,3302,"nuclear lumen","CC"
"13812","GO:0051128",1.02379672341206e-52,1,1151,2459,"regulation of cellular component organization","BP"
"4852","GO:0010556",2.0600811867312e-52,1,1413,3178,"regulation of macromolecule biosynthetic process","BP"
"4356","GO:0009059",5.63790930435527e-52,1,1659,3895,"macromolecule biosynthetic process","BP"
"4059","GO:0008283",5.84480895690392e-52,1,928,1945,"cell proliferation","BP"
"15715","GO:0070013",6.54350602371992e-51,1,1558,3651,"intracellular organelle lumen","CC"
"8209","GO:0031974",8.05617789618693e-51,1,1558,3652,"membrane-enclosed lumen","CC"
"11229","GO:0043233",8.05617789618693e-51,1,1558,3652,"organelle lumen","CC"
