"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EntrezID","Symbol"
"11461",61569.1096906206,-0.320028383231312,0.0796120484426297,-4.01971126964788,5.82695085633044e-05,0.000899076538752292,"11461","Actb"
"56456",1616.47069101121,-0.273147380164421,0.0872741019511225,-3.12959432050676,0.00175047865371471,0.0144483405413893,"56456","Actl6a"
"11568",2395.41086689288,0.972639333990143,0.117486686763334,8.2803476991438,1.22816151503146e-16,2.78361147704158e-14,"11568","Aebp1"
"21681",2377.41279695689,-0.25080731825501,0.0852463856346754,-2.94193457973543,0.00326168824862941,0.0237437500768693,"21681","Alyref"
"56642",129.569790341345,0.326498576445911,0.195681863798787,3.21447691268712,0.00130682423480413,0.0114394864645798,"56642","Ankrd2"
"11737",6730.43882481748,-0.238696785339531,0.079523675768771,-3.00167275192166,0.00268500644435306,0.0203217184497697,"11737","Anp32a"
"67628",8594.76909117685,-0.255653840832002,0.0684204447996623,-3.73643407690858,0.000186648353075688,0.00237516401956406,"67628","Anp32b"
"66471",5355.658554946,-0.276400963011681,0.10224603959833,-2.70314328289364,0.00686871303148359,0.0419068952215507,"66471","Anp32e"
"11746",513.944718816837,0.508376004673279,0.106969438799534,4.75169224958369,2.01721236149781e-06,5.30292879734189e-05,"11746","Anxa4"
"11792",1844.47692111175,-0.422984352618939,0.0723017304334614,-5.85026970719813,4.90776543918943e-09,2.61311244273286e-07,"11792","Apex1"
"54324",732.617578995816,0.496727149374675,0.141008080543834,3.52238700079344,0.000427679321116904,0.00472221038431384,"54324","Arhgef5"
"107566",1924.74822234554,-0.255254398551249,0.0684560524782944,-3.72876045832255,0.000192423956632782,0.00243756389776814,"107566","Arl2bp"
"23808",2769.59229283943,-0.223053582574316,0.080012318612028,-2.78792820274356,0.00530462986802307,0.0345377531624545,"23808","Ash2l"
"268515",3020.49422007852,-0.321451717364403,0.10334931306765,-3.10995210051424,0.00187117685150195,0.0152791519734132,"268515","Bahcc1"
"77578",4376.51119049521,-0.313609608099444,0.0897289026207486,-3.49499799896738,0.000474065309460817,0.00513300411250925,"77578","Bcl9"
"71458",2342.40159053482,-0.263162801252105,0.0689773070971924,-3.815218110641,0.000136062699782441,0.00180562850262111,"71458","Bcor"
"12069",619.598551917919,-0.671456114899434,0.156766387531642,-4.27946842997416,1.87340207519296e-05,0.000351069269331132,"12069","Bex2"
"14312",7645.2038099247,-0.203160215209284,0.0453827585975743,-4.47660485432365,7.58394290148678e-06,0.000166707588917086,"14312","Brd2"
"67382",7078.18005185693,-0.173529286843822,0.0622607799672766,-2.78712220217581,0.00531784212424347,0.0345969154801441,"67382","Brd3"
"12416",2455.24591277159,-0.678805929200302,0.119007045097948,-5.70178821473312,1.18557070596834e-08,5.70642755744489e-07,"12416","Cbx2"
