"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EntrezID","Symbol"
"69743",1171.9983667446,1.08182609879794,0.216270378871167,5.00417224990695,5.61025754933971e-07,2.1240124837143e-05,"69743","Casz1"
"26427",3022.0960853453,1.03949790715835,0.193213461389245,5.38082808630444,7.41439758287255e-08,4.4057897979731e-06,"26427","Creb3l1"
"13813",89.8137080905209,-1.31791318081322,0.267453848144888,-5.03250956937356,4.84100433857348e-07,1.92131744654833e-05,"13813","Eomes"
"14029",343.628147974998,-1.0433207518434,0.189145645898482,-5.51628155790572,3.46247384823519e-08,2.51576821742249e-06,"14029","Evx2"
"17300",1890.799610922,-1.15111500270565,0.171597138807467,-6.70869245837719,1.96376046318568e-11,5.37793259806812e-09,"17300","Foxc1"
"14581",48.1746907089969,1.36924487467279,0.259548195384016,5.29772624521454,1.17253578396909e-07,6.23036846803642e-06,"14581","Gfi1"
"15402",689.922112925214,-1.00128636121411,0.211375499095028,-4.73870206887249,2.15091472847838e-06,6.08290531904102e-05,"15402","Hoxa5"
"15433",8203.53707390723,-1.02222159504355,0.155794231637138,-6.5615635428931,5.32464759758825e-11,1.15117479836806e-08,"15433","Hoxd13"
"16876",2677.29614155817,-1.02957642536006,0.181798494907774,-5.66382639128916,1.48034183677435e-08,1.30072174973473e-06,"16876","Lhx9"
"14013",5246.96457651279,-1.00113256103526,0.154208074332822,-6.49225112731511,8.4563141919879e-11,1.65411545819706e-08,"14013","Mecom"
"70673",3118.58809634611,-1.03305150804745,0.148508623125368,-6.95623882804418,3.49477218491055e-12,1.43556504425663e-09,"70673","Prdm16"
"20689",112.33504816664,-1.15594715300458,0.24630807119019,-4.70331331827976,2.55973143199193e-06,6.9749497776218e-05,"20689","Sall3"
"20465",723.318487820715,-1.10788993634743,0.195048617791666,-5.68102708747679,1.33888268566061e-08,1.20874623121371e-06,"20465","Sim2"
"20472",1486.80847763215,-1.06092799907488,0.136934440036564,-7.74751053552829,9.37115609376525e-15,1.02651643851105e-11,"20472","Six2"
"20679",1956.68868246166,-1.10518530452087,0.182462080226459,-6.0577089318535,1.38073943211156e-09,1.814954368722e-07,"20679","Sox6"
"20682",6990.35939814521,-1.02835253468249,0.188634462647576,-5.45245589822369,4.96788951681221e-08,3.34538494470252e-06,"20682","Sox9"
"22772",487.414103709897,-1.06962557657782,0.199906633844588,-5.35066616829528,8.76310452383182e-08,5.0344954696182e-06,"22772","Zic2"
"65100",47.9232610022937,-1.05691313146615,0.228580592928574,-4.61187211427406,3.99058494203699e-06,9.81576365009129e-05,"65100","Zic5"
