"","e11.sample1","e11.sample2","e11.sample3","e11.samp5","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e13.sample8","e13.sample9","e14.sample1","e14.sample2","e14.sample3","e14.sample4","e14.sample5"
"0610005C13Rik",0,1,1,0,1,0,0,1,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"0610007P14Rik",1005,1020,1002,1153,624,1026,1096,996,858,902,1551,2166,737,869,1405,1234,1294,919,858,894,802,900,960,1569
"0610009B22Rik",450,415,421,423,254,387,360,295,288,283,474,583,218,308,408,416,345,247,231,223,222,263,257,320
"0610009L18Rik",25,56,41,32,34,29,35,32,32,29,65,59,30,27,53,38,52,38,34,31,27,37,46,44
"0610009O20Rik",2118,2105,1919,2264,1178,1519,1830,1889,1731,1844,2713,4236,1387,1499,2652,2291,2535,1857,1583,1763,1441,1834,1936,2381
"0610010B08Rik",16,12,11,12,10,11,16,12,18,25,23,38,14,15,34,15,32,16,15,12,10,7,19,15
"0610010F05Rik",1263,1359,1377,1634,768,1433,1451,1215,791,959,1751,2286,853,1003,1583,1363,1427,987,777,790,775,969,909,686
"0610010K14Rik",1195,1170,1276,1481,751,912,998,975,947,992,1535,2058,965,730,1294,1239,1052,915,948,952,851,815,941,1915
"0610011F06Rik",422,395,371,471,263,374,377,339,301,327,509,622,293,272,358,388,347,272,257,237,210,274,294,347
"0610012G03Rik",696,642,684,826,450,607,801,755,935,827,1165,1623,596,548,1023,983,924,678,788,802,736,709,789,1770
"0610030E20Rik",1827,1989,1746,2027,1167,1704,1941,1726,1546,1613,2871,3999,1240,1566,2540,2125,2136,1410,1396,1533,1479,1849,1800,1494
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0610037L13Rik",1029,971,944,1021,584,805,925,822,859,917,1444,2219,796,758,1363,1165,1292,897,932,867,808,926,1028,1428
"0610038B21Rik",10,9,14,7,2,6,12,11,9,5,20,25,6,9,15,14,17,7,2,5,11,10,7,11
"0610039H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610039K10Rik",2,2,2,2,1,1,0,2,0,2,1,1,1,1,2,1,8,2,1,4,1,0,0,0
"0610040B10Rik",22,24,28,29,15,22,30,14,19,16,20,22,11,16,23,18,12,14,18,15,13,11,13,27
"0610040F04Rik",0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,3,0
"0610040J01Rik",89,47,41,51,36,104,99,96,91,143,134,199,98,78,158,125,115,69,56,102,110,50,79,156
"0610043K17Rik",4,1,2,1,2,2,7,4,1,4,10,3,6,5,12,5,9,7,1,2,5,3,10,6
"1010001N08Rik",19,15,8,28,5,21,52,29,17,15,38,62,10,17,29,17,67,30,30,42,37,9,6,31
"1110001J03Rik",193,222,182,215,116,156,174,130,241,197,307,399,149,135,239,248,161,114,199,187,150,163,184,339
