MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:87902,Acta1,"actin, alpha 1, skeletal muscle",8,,skeletal muscle fiber development,,,IDA,,J:31010 
MGI:87905,Actc1,"actin, alpha, cardiac muscle 1",2,,cardiac muscle tissue morphogenesis,,,IMP,MGI:2180072 ,J:102007 
MGI:99678,Actn3,actinin alpha 3,19,,positive regulation of skeletal muscle fiber development,results in the development of UBERON:0006908,,IMP,,J:133465 
MGI:99678,Actn3,actinin alpha 3,19,,positive regulation of skeletal muscle tissue growth,,,IMP,,J:133465 J:207120 
MGI:891999,Adarb1,"adenosine deaminase, RNA-specific, B1",10,,muscle tissue morphogenesis,,,IMP,MGI:4840554 ,J:164294 
MGI:1933736,Adgrb1,adhesion G protein-coupled receptor B1,15,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:87937,Adrb1,"adrenergic receptor, beta 1",19,,positive regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:2059 ,J:155856 
MGI:87938,Adrb2,"adrenergic receptor, beta 2",18,,positive regulation of skeletal muscle tissue growth,,,ISO,RGD:2060 ,J:155856 
MGI:3050566,Akap6,A kinase (PRKA) anchor protein 6,12,,positive regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:69412 ,J:155856 
MGI:1915300,Akirin1,akirin 1,4,,negative regulation of satellite cell differentiation,,,IMP,,J:265629 
MGI:108359,Alx4,aristaless-like homeobox 4,2,,muscle organ development,results in the development of pectoral girdle and thoracic body wall muscle,,IMP,MGI:1857484 ,J:43769 
MGI:108448,Angpt1,angiopoietin 1,15,,cardiac muscle tissue morphogenesis,,,TAS,,J:169941 
MGI:1097717,Ankrd1,ankyrin repeat domain 1 (cardiac muscle),19,,cardiac muscle tissue morphogenesis,,,ISO,Q15327 ,J:164563 
MGI:1097717,Ankrd1,ankyrin repeat domain 1 (cardiac muscle),19,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:1861447,Ankrd2,ankyrin repeat domain 2 (stretch responsive muscle),19,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:2443398,Ankrd33,ankyrin repeat domain 33,15,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,negative regulation of cardiac muscle cell proliferation,,,ISO,RGD:2123 ,J:155856 
MGI:2175912,Arid5b,AT rich interactive domain 5B (MRF1-like),10,,muscle organ morphogenesis,has the participant smooth muscle tissue,,IMP,MGI:3526852 ,J:117491 
MGI:1096381,Arntl,aryl hydrocarbon receptor nuclear translocator-like,7,,positive regulation of skeletal muscle cell differentiation,,,IMP,,J:206897 
MGI:99474,Arrb2,"arrestin, beta 2",11,,positive regulation of cardiac muscle cell differentiation,,,IDA,,J:233559 
MGI:1929743,Asb2,ankyrin repeat and SOCS box-containing 2,12,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:109384,Atf3,activating transcription factor 3,1,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,positive regulation of skeletal muscle fiber development,regulates a function/process that happens in skeletal musculature,,IMP,MGI:1857134 ,J:66494 
MGI:1924828,Bcl9,B cell CLL/lymphoma 9,3,,skeletal muscle cell differentiation,results in the differentiation of skeletal muscle myoblast,,IGI,MGI:1933114 MGI:98956 ,J:154476 
MGI:1933114,Bcl9l,B cell CLL/lymphoma 9-like,9,,skeletal muscle cell differentiation,results in the differentiation of skeletal muscle myoblast,,IGI,MGI:1924828 MGI:98956 ,J:154476 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,negative regulation of striated muscle tissue development,,,ISO,RGD:2202 ,J:155856 
MGI:1929883,Bin3,bridging integrator 3,14,,skeletal muscle fiber development,"happens at the same time as skeletal muscle tissue regeneration,happens in skeletal muscle tissue",,IMP,MGI:3512131 ,J:202230 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,cardiac muscle tissue morphogenesis,has the participant bulbus cordis rostral half cardiac jelly|has the participant common atrial chamber left part cardiac muscle,,IMP,MGI:3583785 ,J:104417 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,negative regulation of cardiac muscle cell differentiation,,,ISO,P12643 ,J:164563 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,NOT,muscular septum morphogenesis,,,IMP,,J:140658 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,negative regulation of striated muscle tissue development,,,ISO,P12644 ,J:73065 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,positive regulation of cardiac muscle fiber development,,,ISO,P12644 ,J:164563 
MGI:1338820,Bmp10,bone morphogenetic protein 10,6,,positive regulation of cardiac muscle cell proliferation,,,IMP,,J:119151 
MGI:1338820,Bmp10,bone morphogenetic protein 10,6,,ventricular cardiac muscle tissue morphogenesis,,,IMP,,J:89476 J:119151 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,positive regulation of cardiac muscle cell proliferation,,,IMP,,J:139945 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,regulation of cardiac muscle cell proliferation,,,IMP,,J:89521 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,ventricular compact myocardium morphogenesis,,,IMP,,J:89521 
MGI:1338938,Bmpr1a,"bone morphogenetic protein receptor, type 1A",14,,ventricular trabecula myocardium morphogenesis,,,IMP,,J:89521 
MGI:2151153,Boc,biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) binding protein,16,,regulation of striated muscle tissue development,,,ISO,AY027658 ,J:72468 
MGI:1933765,Btbd1,BTB (POZ) domain containing 1,7,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:108384,Btg2,BTG anti-proliferation factor 2,1,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:1346013,Bves,blood vessel epicardial substance,10,,skeletal muscle tissue development,,,IBA,PTN000250645 ,J:265628 
MGI:1346013,Bves,blood vessel epicardial substance,10,,skeletal muscle tissue development,,,ISO,Q8NE79 ,J:164563 
MGI:88294,Cacna1s,"calcium channel, voltage-dependent, L type, alpha 1S subunit",1,,extraocular skeletal muscle development,,,IMP,MGI:1856326 ,J:105090 
MGI:88294,Cacna1s,"calcium channel, voltage-dependent, L type, alpha 1S subunit",1,,skeletal muscle fiber development,,,IDA,,J:18533 
MGI:88294,Cacna1s,"calcium channel, voltage-dependent, L type, alpha 1S subunit",1,,skeletal muscle fiber development,,,IMP,MGI:1856326 ,J:4724 J:109963 
MGI:88294,Cacna1s,"calcium channel, voltage-dependent, L type, alpha 1S subunit",1,,skeletal muscle tissue development,,,IMP,MGI:1856326 ,J:4466 J:7644 J:14970 J:28645 
MGI:107437,Capn3,calpain 3,2,,negative regulation of skeletal muscle cell differentiation,happens in myoblast,PR:Q64691-2,IMP,,J:195085 
MGI:102709,Cav1,"caveolin 1, caveolae protein",6,,skeletal muscle tissue development,results in the development of skeletal muscle tissue,,IMP,MGI:2180364 ,J:117199 
MGI:107571,Cav2,caveolin 2,6,,skeletal muscle fiber development,happens in skeletal muscle tissue,,IMP,MGI:2180372 ,J:117199 
MGI:107570,Cav3,caveolin 3,6,,negative regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:2281 ,J:155856 
MGI:1915266,Cavin4,caveolae associated 4,4,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:2385159,Ccm2l,cerebral cavernous malformation 2-like,2,,ventricular trabecula myocardium morphogenesis,results in the morphogenesis of primitive ventricle,,IGI,MGI:1924696 ,J:187714 
MGI:1197008,Ccn4,cellular communication network factor 4,15,,positive regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:69431 ,J:155856 
MGI:88302,Ccnb1,cyclin B1,13,,positive regulation of cardiac muscle cell proliferation,,,ISO,RGD:2291 ,J:155856 
MGI:1920199,Ccnt2,cyclin T2,1,,skeletal muscle tissue development,,,IDA,,J:228410 
MGI:1859568,Cd164,CD164 antigen,10,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:88351,Cdk1,cyclin-dependent kinase 1,10,,positive regulation of cardiac muscle cell proliferation,,,ISO,RGD:2319 ,J:155856 
MGI:101765,Cdk5,cyclin-dependent kinase 5,5,,skeletal muscle tissue development,,,IDA,,J:40995 
MGI:1926387,Cdon,cell adhesion molecule-related/down-regulated by oncogenes,9,,positive regulation of skeletal muscle tissue development,"regulates the development of trunk somite,regulates a function/process that has the participant muscle precursor cell",,IMP,MGI:2653120 ,J:95029 
MGI:1926387,Cdon,cell adhesion molecule-related/down-regulated by oncogenes,9,,regulation of striated muscle tissue development,,,ISO,AF004841 ,J:72468 
MGI:1926387,Cdon,cell adhesion molecule-related/down-regulated by oncogenes,9,,skeletal muscle satellite cell differentiation,"happens in skeletal muscle tissue,results in the differentiation of skeletal muscle satellite cell",,IMP,MGI:2653120 ,J:95029 
MGI:1313302,Cenpf,centromere protein F,1,,regulation of striated muscle tissue development,,,IDA,,J:55850 
MGI:101763,Cfl2,"cofilin 2, muscle",12,,skeletal muscle tissue development,,,IMP,,J:233564 
MGI:1336166,Cflar,CASP8 and FADD-like apoptosis regulator,1,,skeletal muscle tissue development,,,IMP,,J:228559 
MGI:88392,Chat,choline acetyltransferase,14,,muscle organ development,results in the development of diaphragm,,IMP,MGI:3045900 ,J:91066 
MGI:2448567,Chd2,chromodomain helicase DNA binding protein 2,7,,muscle organ development,,,IMP,,J:204624 
MGI:2444748,Chd7,chromodomain helicase DNA binding protein 7,4,,right ventricular compact myocardium morphogenesis,,,IMP,MGI:2450311 MGI:4433295 ,J:225736 
