"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","cluster"
"Bcl11a",0.843044246830548,1,0.980543291412459,0.907242762886959,0.934985573211802,0.669097366277102,0.578591408177779,0.539447086527676,0.358132069016768,0.458412807005195,0.431240472111734,0.408389928419128,0.371752345199324,0.236446882441525,0.340580859429034,0.278813254230701,0.384225928751851,0.275126453902063,0.281496194911199,0.0287943177194118,0,0.312909444670069,0.317846870011018,1
"Csrnp3",0.817848277305455,0.980768602662001,1,0.798443050576876,0.831632311318035,0.63187297119241,0.502406850152941,0.574865778861072,0.277613389522526,0.455811821990516,0.497915812973768,0.48016364568155,0.189126732297215,0.136440182445702,0.181386730392431,0.228026151788243,0.379494648155178,0.23428564032511,0.272004301971684,0.0193145839124807,0,0.251615043949828,0.335770077802241,1
"Cux2",0.925961377529787,1,0.994032573538185,0.868680691570535,0.842746962907764,0.598417864224194,0.624106579180497,0.693554610894444,0.650301297647075,0.602516923551245,0.60466891901602,0.533207726684609,0.481409167720044,0.374469086053221,0.498258985745283,0.47320664663749,0.636564479168058,0.326070122164437,0.225042082435457,0,0.000531683307617894,0.330558569790726,0.251540410352373,1
"Dach1",0.788974782457318,0.94425657085495,0.942194975104397,0.924484477586569,1,0.749650094772877,0.673570983488842,0.592147465666607,0.584906444875843,0.541554478020364,0.60330836663905,0.621165222686263,0.348750506655662,0.327718313413859,0.51888063168505,0.324061784153547,0.404021790939368,0.363489999002587,0.356924044155688,0.0452907083327629,0,0.132743466541923,0.211801295661684,1
"Dach2",0.609795778310181,0.943305049907379,0.921117103293238,0.897335259032255,1,0.624535990824015,0.590108351465801,0.561731431684137,0.482466577553593,0.597335675108033,0.739403535832934,0.783775366321794,0.264173489402113,0.298113267160806,0.426392896036498,0.213489416044546,0.359224332317757,0.311194815006407,0.197721460947142,0,0.101690878431177,0.1447319657935,0.315595779716709,1
"Dmrta1",1,0.853181841737009,0.951628571585481,0.92063128491389,0.994886005268649,0.946036984942977,0.732911742598604,0.864974925188277,0.570117740975501,0.599422387192674,0.558789331137254,0.607632010680297,0.47404731816561,0.361374127963345,0.342080887099727,0.131605282038053,0.204988821900048,0.468243044286396,0.512636132199297,0.0879056223729388,0,0.371526315757423,0.321020919476315,1
"Elf3",0.765337520591381,0.931092319541679,0.937538787644835,1,0.880955633613234,0.555042921995667,0.44019762355972,0.599661503750477,0.487226929022564,0.520720727593972,0.569927822242816,0.451524393174823,0.188257062117804,0.307446475525538,0.426930445012216,0.28904918049569,0.321456094366918,0.601429108943493,0.622463662654385,0.231103860633562,0,0.945260521469655,0.746883862816716,1
"Eomes",0.924316784329903,0.886948731972339,0.84011976432588,0.673866545647221,0.760637601436618,1,0.83410658339173,0.748876828432431,0.634343713877966,0.57707639547187,0.686778183290972,0.667248885998989,0.25401405812899,0,0.14842347550559,0.099616679055747,0.318049314214538,0.221212378028624,0.639793487191855,0.0131053730158255,0.203054818479473,0.487021083376986,0.627002103738176,1
"Evx2",0.878860342016282,1,0.988084752581664,0.919227479472455,0.778863044365608,0.839922473692922,0.698877143801979,0.814704985029773,0.718879993185095,0.451010696168725,0.716542514386903,0.569528700704003,0.276723258561884,0.212301515323295,0.385813469222823,0.387575353361264,0.469362118965761,0.35222911314493,0.550737355862167,0.0636040665161178,0,0.191901481448969,0.434706167513088,1
"Foxc1",0.741202991651982,0.949175787008945,0.939981207838888,0.932889548133422,1,0.679399897303502,0.607057636274319,0.588150912089361,0.527625991409388,0.555596303652432,0.823234916823832,0.722890499170631,0.33260933264976,0.344782917195363,0.34702566710721,0.306025815096983,0.441572315133255,0.34971129707405,0.506901636480579,0.107184190505592,0,0.521062365119758,0.618593580420683,1
