"","merged_data.Symbol","E12/E11","E13/E12","E14/E13"
"1","2610008E11Rik",0,0,-1
"2","Aff2",-1,0,0
"3","Aff3",0,-1,-1
"4","Ahr",1,1,0
"5","Alx4",-1,0,0
"6","Ar",1,1,0
"7","Arid3a",0,0,1
"8","Arid3b",-1,-1,0
"9","Arid5a",1,0,1
"10","Arnt2",0,0,-1
"11","Arntl2",1,0,0
"12","Ascl2",0,0,1
"13","Atf3",1,-1,0
"14","Atf5",0,0,1
"15","Barx1",1,0,0
"16","Barx2",1,0,0
"17","Batf",1,0,1
"18","Bcl11b",0,1,0
"19","Bcl6",1,1,0
"20","Bcl6b",0,1,0
"21","Bhlha9",-1,0,-1
"22","Bhlhe22",1,1,0
"23","Bhlhe40",1,0,0
"24","Bhlhe41",1,0,1
"25","Bnc1",1,-1,0
"26","Camta1",0,0,-1
"27","Casz1",1,1,0
"28","Cebpa",1,0,1
"29","Cebpb",1,0,0
"30","Cebpd",1,0,1
"31","Creb3l1",1,1,1
"32","Creb5",1,0,0
"33","Csrnp1",1,0,1
"34","Cux2",0,0,-1
"35","Dach1",0,0,-1
"36","Dach2",0,0,-1
"37","Dbx1",1,0,0
"38","Dbx2",1,1,-1
"39","Dlx1",0,0,-1
"40","Dlx2",-1,0,0
"41","Dlx3",-1,1,0
"42","Dlx4",0,1,0
"43","Dlx5",-1,0,0
"44","Dmbx1",-1,0,0
"45","Dmrt2",1,1,0
"46","Dmrta1",0,-1,0
"47","Dmrta2",-1,0,0
"48","E2f7",-1,0,0
"49","Ebf2",1,0,0
"50","Ebf4",0,1,0
"51","Egr1",1,-1,0
"52","Egr2",1,0,0
"53","Egr3",1,0,0
"54","Egr4",1,0,0
"55","Ehf",1,0,0
"56","Elf1",0,0,1
"57","Elf3",-1,0,0
"58","Elf4",1,1,1
"59","Emx1",-1,0,0
"60","Emx2",1,0,0
"61","Eomes",0,-1,0
"62","Epas1",0,1,0
"63","Esr1",0,1,0
"64","Esrrb",1,0,0
"65","Etv4",-1,0,-1
"66","Etv5",-1,0,0
"67","Evx1",-1,0,0
"68","Evx2",0,-1,0
"69","Fezf2",1,-1,0
"70","Fli1",-1,0,0
"71","Fos",1,0,0
"72","Fosb",1,-1,0
"73","Fosl2",1,1,1
"74","Foxa1",1,-1,0
"75","Foxa3",0,1,0
"76","Foxb2",-1,0,0
"77","Foxc1",-1,0,0
"78","Foxc2",-1,0,0
"79","Foxd1",0,0,1
"80","Foxd3",1,0,0
"81","Foxf2",1,1,0
"82","Foxi3",-1,1,0
"83","Foxl2",1,0,0
"84","Foxn1",0,1,0
"85","Foxp1",1,0,0
"86","Foxq1",1,1,0
"87","Gabpb1",-1,0,0
"88","Gata1",0,0,1
"89","Gata2",1,0,1
"90","Gata3",-1,0,0
"91","Gata4",0,-1,0
"92","Gata5",0,-1,0
"93","Gata6",1,0,0
"94","Gfi1",1,0,0
"95","Gli1",-1,1,0
"96","Gli3",0,0,-1
"97","Gm10778",-1,0,0
"98","Gm20939",0,0,-1
"99","Grhl2",-1,0,0
"100","Gsc",-1,-1,0
"101","Hand1",1,0,0
"102","Hand2",-1,-1,0
"103","Hes5",0,1,0
"104","Hey1",-1,-1,0
"105","Hey2",1,0,0
"106","Heyl",1,0,0
"107","Hhex",0,0,1
"108","Hic1",1,0,0
"109","Hic2",-1,0,0
"110","Hif3a",0,1,0
"111","Hivep2",1,1,0
"112","Hivep3",1,0,1
"113","Hlf",1,1,0
"114","Hlx",1,0,0
"115","Hmga1",-1,0,0
"116","Hmga2",0,-1,-1
"117","Hmgb3",-1,0,-1
"118","Hnf4a",1,-1,0
"119","Hnf4g",1,0,0
"120","Hopx",0,1,0
"121","Hoxa10",-1,0,0
"122","Hoxa11",-1,0,0
"123","Hoxa2",0,-1,0
"124","Hoxa3",0,-1,0
"125","Hoxa4",0,-1,0
"126","Hoxa5",0,-1,0
"127","Hoxa6",-1,-1,0
"128","Hoxa7",0,-1,0
"129","Hoxa9",-1,0,-1
"130","Hoxb4",0,-1,0
"131","Hoxb9",1,0,0
"132","Hoxc10",-1,0,0
"133","Hoxc11",-1,0,0
"134","Hoxc12",-1,0,0
"135","Hoxc13",-1,0,0
"136","Hoxc4",1,-1,0
"137","Hoxc5",1,-1,0
"138","Hoxc6",0,-1,0
"139","Hoxc8",1,0,0
"140","Hoxd1",1,0,0
"141","Hoxd10",-1,0,0
"142","Hoxd11",-1,0,-1
"143","Hoxd12",0,-1,-1
"144","Hoxd13",0,0,-1
"145","Hoxd4",-1,0,0
"146","Hoxd8",0,1,0
"147","Hoxd9",-1,0,0
"148","Ikzf1",1,0,1
"149","Ikzf3",1,0,0
"150","Insm1",-1,0,0
"151","Irf1",1,0,0
"152","Irf4",1,0,1
"153","Irf5",1,0,1
"154","Irf6",0,1,0
"155","Irf7",1,0,1
"156","Irf8",1,0,1
"157","Irx1",1,0,0
"158","Irx2",1,1,0
"159","Irx4",-1,1,0
"160","Irx5",1,1,0
"161","Irx6",0,1,0
"162","Isl1",0,-1,0
"163","Isl2",-1,0,0
"164","Jazf1",1,0,0
"165","Jdp2",0,1,0
"166","Jun",1,-1,1
"167","Junb",1,0,0
"168","Jund",1,0,1
"169","Klf14",1,1,0
"170","Klf2",1,0,1
"171","Klf4",1,0,1
"172","Klf5",0,1,0
"173","Klf6",1,0,1
"174","Klf7",1,0,0
"175","Klf8",1,0,0
"176","Lhx1",-1,0,0
"177","Lhx2",0,-1,-1
"178","Lhx6",0,1,0
"179","Lhx8",1,0,0
"180","Lhx9",-1,-1,-1
"181","Lin28a",-1,0,0
"182","Lin28b",-1,-1,0
"183","Lmx1a",0,0,1
"184","Lmx1b",0,0,-1
"185","Ltf",1,0,1
"186","Lyl1",1,0,1
"187","Maf",1,0,1
"188","Mafb",0,1,0
"189","Maff",1,0,0
"190","Mafk",1,0,1
"191","Mbd4",-1,0,0
"192","Mecom",-1,-1,-1
"193","Mef2c",1,0,0
"194","Meis1",0,-1,0
"195","Meis2",0,-1,0
"196","Meis3",1,0,0
"197","Meox1",1,0,0
"198","Mis18bp1",-1,0,0
"199","Mitf",1,0,1
"200","Mkx",0,1,0
"201","Mlxipl",-1,0,-1
"202","Mnx1",-1,0,0
"203","Msc",1,0,0
"204","Msx1",0,0,-1
"205","Msx2",-1,0,0
"206","Mxd3",0,1,0
"207","Myb",0,0,1
"208","Mybl1",-1,0,0
"209","Myc",1,0,0
"210","Mycn",-1,0,-1
"211","Myf5",0,-1,0
"212","Myod1",1,0,0
"213","Myog",1,0,0
"214","Myrf",0,-1,0
"215","Myt1l",1,0,0
"216","Nanog",1,0,0
"217","Ncoa1",1,0,0
"218","Nfatc1",0,1,0
"219","Nfe2l2",0,0,1
"220","Nfe2l3",1,0,0
"221","Nfia",1,0,0
"222","Nfib",1,1,0
"223","Nfic",1,1,0
"224","Nfix",1,1,0
"225","Nkx1-1",-1,0,0
"226","Nkx3-1",-1,0,0
"227","Npas2",1,1,0
"228","Npas3",1,0,0
"229","Npas4",1,0,0
"230","Nr0b1",-1,0,0
"231","Nr2e3",-1,1,0
"232","Nr2f1",0,-1,0
"233","Nr2f2",0,0,-1
"234","Nr3c1",1,1,0
"235","Nr3c2",1,1,0
"236","Nr4a1",1,0,0
"237","Nr5a2",-1,1,0
"238","Onecut2",1,-1,0
"239","Osr1",1,0,0
"240","Osr2",-1,0,0
"241","Otx1",-1,0,0
"242","Parp12",1,0,0
"243","Patz1",-1,0,0
"244","Pax3",0,1,0
"245","Pax6",0,1,0
"246","Pax7",1,0,0
"247","Pax9",-1,-1,0
"248","Pbx3",-1,0,0
"249","Pitx1",1,0,0
"250","Pitx2",0,-1,0
"251","Pitx3",1,0,0
"252","Pknox2",0,-1,0
"253","Plagl1",1,1,0
"254","Plek",1,-1,1
"255","Plscr1",0,-1,0
"256","Pou2f1",-1,0,0
"257","Pou2f2",1,0,1
"258","Pou2f3",0,1,0
"259","Pou3f1",1,1,0
"260","Pou3f3",1,0,0
"261","Pou4f1",-1,0,0
"262","Ppara",0,1,0
"263","Pparg",1,0,1
"264","Prdm14",-1,0,0
"265","Prdm16",-1,-1,-1
"266","Prdm6",0,1,0
"267","Prdm8",1,0,0
"268","Prox1",1,0,0
"269","Prrx1",-1,0,0
"270","Rag1",-1,-1,0
"271","Rarb",1,0,0
"272","Rax",-1,0,0
"273","Rcor2",-1,0,0
"274","Rel",1,0,0
"275","Rfx3",-1,0,0
"276","Rfx4",0,-1,0
"277","Rorc",1,0,0
"278","Rreb1",1,0,0
"279","Runx1",1,0,0
"280","Runx3",0,1,0
"281","Rxrg",1,0,0
"282","Sall1",-1,0,-1
"283","Sall3",-1,-1,0
"284","Sall4",-1,-1,0
"285","Shox2",0,-1,0
"286","Sim1",0,-1,0
"287","Sim2",0,-1,0
"288","Six1",0,-1,0
"289","Six2",0,-1,0
"290","Six4",-1,-1,0
"291","Smad9",0,0,-1
"292","Sox10",1,0,0
"293","Sox11",-1,0,-1
"294","Sox14",-1,0,0
"295","Sox17",-1,1,0
"296","Sox18",0,1,0
"297","Sox2",1,0,0
"298","Sox21",-1,1,0
"299","Sox4",0,-1,0
"300","Sox5",-1,0,0
"301","Sox7",0,1,0
"302","Sox8",1,0,0
"303","Sp100",1,0,1
"304","Sp110",1,0,1
"305","Sp140",1,0,1
"306","Sp4",-1,0,0
"307","Sp5",1,1,0
"308","Sp6",-1,0,0
"309","Sp7",-1,1,0
"310","Sp8",-1,0,0
"311","Sp9",-1,1,0
"312","Spi1",1,0,1
"313","Stat4",0,-1,0
"314","Stat5a",1,0,1
"315","Stat6",1,0,1
"316","T",-1,0,0
"317","Tal2",0,1,0
"318","Tbx20",1,0,0
"319","Tbx22",-1,0,0
"320","Tbx3",0,-1,0
"321","Tcf24",1,0,0
"322","Tcf7l2",0,-1,0
"323","Tead4",1,0,0
"324","Tfap2a",-1,1,0
"325","Tfap2b",-1,1,0
"326","Tfap2c",-1,0,0
"327","Tfeb",1,0,0
"328","Tfec",1,0,1
"329","Thra",1,0,0
"330","Thrb",1,1,0
"331","Tox2",1,0,0
"332","Trp63",-1,1,0
"333","Trp73",-1,1,0
"334","Trps1",-1,0,0
"335","Tshz2",1,0,0
"336","Tshz3",1,0,0
"337","Tulp2",-1,0,0
"338","Twist2",1,1,0
"339","Uncx",-1,0,0
"340","Vax2",0,1,0
"341","Vdr",0,1,0
"342","Wt1",1,-1,0
"343","Ybx2",0,0,-1
"344","Zbtb12",-1,0,0
"345","Zbtb16",-1,0,0
"346","Zbtb20",1,0,0
"347","Zbtb26",-1,0,0
"348","Zbtb39",-1,0,0
"349","Zbtb4",1,1,0
"350","Zbtb7b",1,0,1
"351","Zbtb7c",1,0,0
"352","Zeb2",1,1,0
"353","Zfp101",-1,0,-1
"354","Zfp112",1,0,0
"355","Zfp113",-1,0,0
"356","Zfp184",0,-1,-1
"357","Zfp354b",-1,0,0
"358","Zfp366",0,1,0
"359","Zfp36l1",1,0,0
"360","Zfp385a",0,0,1
"361","Zfp41",-1,0,0
"362","Zfp423",0,-1,0
