"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1110007C09Rik",289.60645510772,0.431856161533575,0.135792639148559,3.18004812443305,0.0014725059590131,0.0190878600698495
"1500015O10Rik",131.513974878936,1.13694670571121,0.270975612969883,4.10532188253947,4.03752283883405e-05,0.00149354472664173
"1700024P16Rik",22.7314265208192,0.825263676962792,0.259448127555556,3.10076163210923,0.00193023606830575,0.0229900195753139
"1700042O10Rik",13.4365458609066,1.09533141291392,0.276795477308982,3.88015443446346,0.000104390161869212,0.00284994219308329
"1700112E06Rik",10.977034266148,0.780707440522498,0.272775425139727,2.83809724106001,0.004538335420485,0.0411680012846687
"1810011H11Rik",79.2824201795343,0.852775124191263,0.268714788973723,3.12638688860562,0.00176968567044158,0.0215433712349357
"1810037I17Rik",410.777813549836,0.474380484698412,0.151362182994979,3.1328353925657,0.00173126504724125,0.021215767924741
"2210016F16Rik",469.680527132979,0.462161392667286,0.148685301417682,3.10745095295764,0.0018870829603973,0.0225960551581363
"2310007B03Rik",21.5494138813706,0.693643695950258,0.226459097444393,3.17935251184725,0.00147604464210577,0.0190952664400558
"2610005L07Rik",1780.51660948049,-0.41824296537557,0.129265044281187,-3.23568928594098,0.00121349397991244,0.0169065669700938
"2610008E11Rik",1424.09336995779,-0.51980058707962,0.150338018538232,-3.45699959404356,0.000546225671927803,0.00949573709625985
"2610507B11Rik",7616.33740170213,0.135580615669188,0.0484050663007812,2.80097305446055,0.00509487729825048,0.0448818091065859
"2810408A11Rik",173.295619437304,-0.670503286233251,0.208630401863935,-3.21789098727445,0.00129136888304021,0.0175362532231533
"2810442N19Rik",53.4863175980935,-0.922141847669763,0.232886993158926,-3.96398355757952,7.3709331636715e-05,0.00223808334242389
"3110039I08Rik",4977.11940480427,-0.537731024795993,0.190156597609695,-2.83055232040229,0.00464677104817879,0.0417783573392387
"4632428N05Rik",585.677296909703,1.08044006844374,0.203437460103846,5.29095807787165,1.21677257304803e-07,3.00896816237581e-05
"4930523C07Rik",213.355937567207,1.01635223869434,0.257284895427366,3.89907205750596,9.65620376198826e-05,0.00268764338042007
"5430427O19Rik",18.0483277162966,0.833869845577903,0.27665085525492,2.96401014479097,0.00303658275939291,0.0311761125944735
"5730559C18Rik",532.544704345628,-0.771513318381669,0.203957198000856,-3.78830464715222,0.00015167878960113,0.00371459226077774
"5830416P10Rik",9.36683643972488,0.936246836706798,0.253793759303923,3.74723540280115,0.000178794278814202,0.00422697679039961
"5930403L14Rik",1408.251449531,-0.949113827185608,0.245602504369307,-3.90890045505346,9.27171560398902e-05,0.00260745782429015
"6820431F20Rik",9448.32015053246,-0.587403899369945,0.111031553938043,-5.29064151951097,1.2188806486527e-07,3.00896816237581e-05
"9930111J21Rik1",53.6670966849179,0.869261633905038,0.254903815984543,3.38212252673343,0.000719280547975336,0.0116284923193788
"A4galt",41.2895963981089,0.867451830663331,0.268715231225884,3.18393629749,0.00145286981686845,0.0189270957553534
"A530099J19Rik",44.1844620779377,1.24266442541322,0.252727278307232,5.20625473635515,1.92690084779079e-07,3.98006440902892e-05
"A630001G21Rik",110.208699766031,0.880810184768911,0.235928519017452,3.71882385611711,0.000200152558502376,0.00458685381513912
"AB124611",84.2649806138657,1.15851145647987,0.266397329595574,4.2748386784047,1.91275740864997e-05,0.000905595071376977
"AF251705",69.1259035527922,1.06964345572551,0.26494821857716,3.97783458426081,6.95457240394292e-05,0.00214310182949225
"AI467606",155.289183462285,0.947136246177987,0.210676674804681,4.48243180887929,7.379722782653e-06,0.000443857809356654
"AI607873",281.036005616426,1.19273969046774,0.253532956695781,4.64193439454113,3.45162463996202e-06,0.000272841696804933
"AI661453",188.408007611012,0.828960895910531,0.276721562363414,2.90866344281242,0.00362977386520502,0.0356126188349928
"AI662270",173.061505487366,1.14728136830312,0.26993306799469,4.15943704829019,3.19032932214892e-05,0.00124892243638638
"AW554918",507.358252555283,-0.333351916223446,0.105549533141487,-3.15799133460911,0.00158860279994083,0.0200626603004595
"Abca1",3427.54106831633,0.609484572137639,0.190766986063264,3.18840397507135,0.00143060516760741,0.018714699934251
"Abca3",1367.64165323271,0.382431494148156,0.121101367083944,3.1575684240387,0.0015909089570965,0.0200756340904348
"Abca7",648.449175925786,0.462546870274372,0.113021999989013,4.0924487374904,4.26841625046721e-05,0.00155105551619987
"Abca9",2048.15253624902,0.680615922171063,0.207047951788817,3.28560603033732,0.0010176323378448,0.015009680322858
"Abcc3",328.856534621596,1.02863839851873,0.251959870523147,4.03439057713253,5.47441934533713e-05,0.00183936081347563
"Abcg1",305.701591454564,0.583147527253818,0.1626538342762,3.58397697533674,0.000338401929477154,0.00671584511875141
"Abcg3",132.622561854309,1.02585703624796,0.249336435107445,4.07477226466683,4.60593982560793e-05,0.00162480996364929
"Abhd11",554.105797293599,0.365184297584556,0.12017229456281,3.03890104199076,0.00237442835332854,0.0265273934231731
"Abhd11os",11.1508702322572,0.992332743431148,0.276818933907893,3.52962667050723,0.000416146437765207,0.00778515073804088
"Abhd12",1601.47879514293,0.665901237803206,0.176817709608855,3.76207259625784,0.000168511116497512,0.00406056159737004
"Abhd15",70.8183207711376,0.822430674185747,0.255565231068655,3.18989843537968,0.0014232280188351,0.0186337226352572
"Acaa2",1128.74827188137,0.542636269948233,0.135750997111228,3.99649826453768,6.42863527670446e-05,0.00203495667738824
"Acap1",156.442939797197,0.929284463923432,0.262794130984119,3.48632405938088,0.000489707391655952,0.0087257964066006
"Acat2",1701.82141843304,-0.320808236877873,0.106973591340945,-2.99859212681385,0.00271230141054643,0.0288076505702016
"Acbd4",206.46990035846,0.503534405161678,0.168459438764252,2.98810654553801,0.00280711676565085,0.0296342427620626
"Acp5",222.865349376314,0.720911637559602,0.187283072669215,3.84381313257579,0.000121137259925723,0.00314316149803966
"Acsl5",979.184138927022,0.675789411546762,0.143381166903265,4.71116540502957,2.46304223498991e-06,0.000219225922760406
"Acss1",415.079885445378,0.798769784948925,0.183565792952255,4.34569550898669,1.38835048912391e-05,0.000712232875106768
"Acta1",595.415474494499,-0.310419748095235,0.268861080371263,4.05498304406075,5.01379395866755e-05,0.00172488034196491
"Actb",60731.1712154951,0.34943819760112,0.106941592820723,3.26730822820754,0.00108575398394633,0.0156225169935742
"Acvr2a",1126.48914815847,-0.543939829215173,0.158482371675139,-3.43441000446678,0.000593845225658421,0.0101488894455779
"Ada",205.686833174516,0.545581383717096,0.195303386528484,2.78981353699012,0.00527384049218751,0.0459445947584872
"Adam11",474.500954505174,-0.521928038630601,0.165418688261129,-3.15672843708462,0.00159549859973982,0.0201012335623721
"Adam15",1942.81929099137,0.811396332756434,0.182647747444437,4.43740033012954,9.10518591499991e-06,0.00052165404559733
"Adamtsl2",356.67531485453,-0.894295821484334,0.23671047635378,-3.80044489349875,0.000144436536740038,0.00357065315550412
"Adamtsl4",187.344222049381,0.9050803791687,0.267508214920878,3.35455825387423,0.000794918139001766,0.0124661587872625
"Adamtsl5",586.410018188029,0.747839450902323,0.256920275151946,2.87541194599217,0.00403500674032386,0.0379973220213581
"Adap2",182.443293123873,1.025909178918,0.256875496254401,3.9548728275246,7.65753729003412e-05,0.00227448680453821
"Adcy7",1233.44689291848,1.00557150882657,0.163215501421861,6.15442166955492,7.53519547515729e-10,1.47859373211274e-06
"Adcy9",357.031573409028,0.395680297520331,0.13423428742133,2.94718515254493,0.00320681129282597,0.0324359044296276
"Adcyap1",17.4517445915557,-0.755004569867616,0.264769676704466,-2.87142348161558,0.00408627697412352,0.0382506714011872
"Adgra2",4127.2161397226,-0.458696744554804,0.126380391082904,-3.63004662524585,0.000283370028356555,0.00591191299082376
"Adgrb1",172.635420929767,-0.627028541225055,0.190197722330776,-3.29752345512266,0.000975415274189284,0.0145627504822525
"Adgrd1",183.677182956889,0.926416198633318,0.27610411266025,3.22427383792398,0.0012629256950283,0.0172394848352646
"Adgre1",1364.51794591663,1.0433237114885,0.26735562145838,3.83250642790311,0.00012684428396023,0.00325892237251667
"Adh1",219.477451356764,0.735769114295101,0.260938235591664,2.78627142908834,0.00533182054451259,0.0461598856165903
"Adh7",28.2146428115466,0.824032532359273,0.257717033908226,3.17412783611453,0.00150287483719572,0.0193854800281827
"Adipor1",2425.88551157543,0.321340131717834,0.0895650596587125,3.58750241115783,0.000333860646533505,0.00664844510427102
"Adora3",41.7133614379768,1.05161631450849,0.275557235781218,3.70000936004967,0.000215591515163612,0.00487659309083339
"Adrb1",75.4710194089449,0.699029377473022,0.214708703474867,3.24894096164185,0.00115835516795226,0.0163671101948825
"Adrb2",276.039433595815,0.987428286891799,0.271434533266853,3.55620175103229,0.000376255178490708,0.00722944160581044
"Adrbk1",3145.83076393622,0.462334432460607,0.0894258616026939,5.16984942658073,2.34282685462894e-07,4.22303766647185e-05
"Aebp1",3406.00093792377,0.61514739807753,0.185330428065995,3.31524033656118,0.000915643643914958,0.0138742991526805
"Aes",4819.06479815818,0.381167097773319,0.134320184481282,2.83738512561373,0.00454847109495721,0.0412251150396295
"Aff1",940.052254286506,0.372977604234471,0.121827481151985,3.06188686601477,0.0021994656574693,0.0251839619919424
"Aff3",2038.84157286516,-0.538257456058049,0.160953991132374,-3.34568479567918,0.000820796443321354,0.0126944458790725
"Agpat2",355.844331121474,0.545332765917889,0.180371468773058,3.02262658647976,0.00250591250700674,0.0272800378189957
"Ahnak",15822.9000811001,0.470922257540354,0.165137769390811,2.84963782371834,0.00437690378608108,0.0400431046469797
"Aif1",248.354920045255,0.90775427237539,0.268478761645323,3.35793339085726,0.000785275337300662,0.0123519561572603
"Aif1l",875.143956022871,-0.565584456488873,0.160738802826756,-3.52065210385694,0.000430487014781769,0.00794099313518708
"Aim2",114.210057235772,0.681032139303025,0.244701040030333,2.76700521567609,0.00565738500269035,0.0482398858078399
"Akap13",3002.63595211257,0.37036130433865,0.105256443529664,3.51789541294998,0.0004349837636041,0.00798656791167029
"Akr1b10",138.619664497293,0.570796561065389,0.192471329231523,2.96277638066604,0.00304877969042779,0.031280878157082
"Alas2",588.965597261543,1.00238131307736,0.253502567765011,3.90236905587351,9.52557719885878e-05,0.00266546365183039
"Aldh1l2",263.04486684592,0.761966079598888,0.246160554531779,3.07067662231934,0.00213574326100924,0.0247430979419358
"Aldh3b1",68.4753516962052,1.15308828883023,0.250844612186098,4.55214101060211,5.31027226127933e-06,0.00036402032295879
"Aldoa",9861.7806704286,0.40569874936511,0.113902422479728,3.56194730415307,0.000368114281146717,0.00711704077839763
"Alox15",8.13983581623285,0.802242041963443,0.27146923854378,2.90273980276244,0.00369913834940578,0.0360901639583418
"Alox5",246.606208058509,1.19317219044434,0.274396142273693,4.22577705598697,2.38117653295157e-05,0.00104822064134372
"Alox5ap",225.748434843855,1.23698519847984,0.261178737675096,4.67179252706555,2.98582477166225e-06,0.000246691985608179
"Amdhd2",256.05172305162,0.657101790054758,0.182963917944496,3.58726966230539,0.000334158694564265,0.00664844510427102
"Amer2",26.1703282354862,-0.792273233477326,0.256640534807784,-3.10335702246835,0.00191338663129899,0.0228239691019236
"Amotl2",3837.10915964545,-0.253009386442375,0.0775292043787213,-3.26336835783954,0.001100963190108,0.0157547129975528
"Ampd3",296.28650338169,1.10100485478249,0.161264190924338,6.82111913506498,9.03339867733543e-12,8.31293097707068e-08
"Amz1",37.3292641394407,0.936619517311424,0.236589003835346,3.94464224879657,7.99192015195511e-05,0.00233754019633701
"Ang",29.0985637335532,0.825575019497642,0.259006861900033,3.162005060799,0.00156686841235971,0.0199204720138767
"Angel1",357.407541190922,-0.270474968552208,0.0971250760301745,-2.784418942513,0.00536237222897615,0.0463028158693441
"Angptl1",1885.58543100122,0.494968573453043,0.157619374379265,3.13869985799259,0.00169699167902392,0.020942905170847
"Ankrd13a",2800.84752106045,0.346584439631684,0.0893173346766579,3.88026702186621,0.000104341850055569,0.00284994219308329
"Ankrd13b",1955.98063935781,-0.351972848009522,0.0967217130973612,-3.6391249752856,0.00027356601970051,0.00576434815739411
"Ankrd45",52.8460289972969,-0.699887535320011,0.255972516624227,-2.75634616575177,0.00584511003092983,0.0494377894749657
