MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1920971,1110017D15Rik,RIKEN cDNA 1110017D15 gene,4,,alpha-tubulin binding,,,IDA,,J:135539 
MGI:1913997,4933400A11Rik,RIKEN cDNA 4933400A11 gene,X,,actin filament binding,,,IBA,PTN000068943 ,J:265628 
MGI:1929608,Aatf,apoptosis antagonizing transcription factor,11,,tau protein binding,,,ISO,RGD:620685 ,J:155856 
MGI:1347061,Abcg2,ATP binding cassette subfamily G member 2 (Junior blood group),6,,cytoskeletal protein binding,,,ISO,RGD:631345 ,J:155856 
MGI:2677850,Abitram,actin binding transcription modulator,4,,actin binding,,,IEA,KW-0009 ,J:60000 
MGI:2677850,Abitram,actin binding transcription modulator,4,,actin filament binding,,,IDA,,J:220150 
MGI:2677850,Abitram,actin binding transcription modulator,4,,actin monomer binding,,,IDA,,J:220150 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,actin filament binding,,,IDA,,J:75087 
MGI:1194500,Ablim1,actin-binding LIM protein 1,19,,actin binding,,,IDA,,J:45406 
MGI:1194500,Ablim1,actin-binding LIM protein 1,19,,actin filament binding,,,IBA,PTN001198097 ,J:265628 
MGI:2385758,Ablim2,actin-binding LIM protein 2,5,,actin binding,,,IEA,IPR003128 IPR028450 IPR036886 ,J:72247 
MGI:2385758,Ablim2,actin-binding LIM protein 2,5,,actin filament binding,,,IBA,PTN001198097 ,J:265628 
MGI:2442582,Ablim3,"actin binding LIM protein family, member 3",18,,actin binding,,,IEA,IPR003128 IPR028449 IPR036886 ,J:72247 
MGI:2442582,Ablim3,"actin binding LIM protein family, member 3",18,,actin filament binding,,,IBA,PTN001198097 ,J:265628 
MGI:2444891,Abra,actin-binding Rho activating protein,15,,actin binding,,,IDA,,J:116362 
MGI:1917931,Abraxas1,BRCA1 A complex subunit,5,,microtubule binding,,,IBA,PTN001272083 ,J:265628 
MGI:1926116,Abraxas2,BRISC complex subunit,7,,microtubule binding,,,IBA,PTN001272083 ,J:265628 
MGI:1926116,Abraxas2,BRISC complex subunit,7,,microtubule binding,,,ISO,Q15018 ,J:164563 
MGI:87874,Ace,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,11,,actin binding,,,ISO,P12821 ,J:164563 
MGI:87904,Actb,"actin, beta",5,,kinesin binding,,,ISO,P60709 ,J:164563 
MGI:87905,Actc1,"actin, alpha, cardiac muscle 1",2,,myosin binding,,,IBA,PTN000748220 ,J:265628 
MGI:87905,Actc1,"actin, alpha, cardiac muscle 1",2,,myosin binding,,,ISO,P68032 ,J:164563 
MGI:2137706,Actn1,"actinin, alpha 1",12,,actin binding,,,IEA,KW-0009 ,J:60000 
MGI:2137706,Actn1,"actinin, alpha 1",12,,actin filament binding,,,IDA,,J:93130 J:221563 
MGI:2137706,Actn1,"actinin, alpha 1",12,,actin filament binding,,,ISO,P12814 ,J:164563 
MGI:2137706,Actn1,"actinin, alpha 1",12,,vinculin binding,,,IDA,,J:221563 
MGI:2137706,Actn1,"actinin, alpha 1",12,,vinculin binding,,,ISO,P12814 ,J:164563 
MGI:109192,Actn2,actinin alpha 2,13,,actin binding,,,IEA,KW-0009 ,J:60000 
MGI:109192,Actn2,actinin alpha 2,13,,actin filament binding,,,IDA,,J:93130 
MGI:109192,Actn2,actinin alpha 2,13,,actin filament binding,,,TAS,,J:32589 
MGI:109192,Actn2,actinin alpha 2,13,,cytoskeletal protein binding,,,IDA,,J:56270 
MGI:109192,Actn2,actinin alpha 2,13,,cytoskeletal protein binding,,,ISO,P35609 ,J:164563 
MGI:109192,Actn2,actinin alpha 2,13,,FATZ binding,,,ISO,P35609 ,J:164563 
MGI:109192,Actn2,actinin alpha 2,13,,titin binding,,,ISO,P35609 ,J:164563 
MGI:99678,Actn3,actinin alpha 3,19,,actin binding,,,IEA,KW-0009 ,J:60000 
